MP_ID,State,MP_Name,Constituency,Allocated_Amount,Financial_Year
MP0001,Karnataka,MP Representative 0001,BELAGAVI-3,120000000,2025-26
MP0002,Bihar,MP Representative 0002,GAYA-1,190000000,2025-26
MP0003,Tamil Nadu,MP Representative 0003,CHENNAI-5,150000000,2025-26
MP0004,Maharashtra,MP Representative 0004,PUNE-1,120000000,2025-26
MP0005,Bihar,MP Representative 0005,MUZAFFARPUR-5,100000000,2025-26
MP0006,Tamil Nadu,MP Representative 0006,MADURAI-5,150000000,2025-26
MP0007,Bihar,MP Representative 0007,BHAGALPUR-5,147000000,2025-26
MP0008,Maharashtra,MP Representative 0008,NANDED-4,147000000,2025-26
MP0009,Madhya Pradesh,MP Representative 0009,INDORE-2,147000000,2025-26
MP0010,Karnataka,MP Representative 0010,BELAGAVI-4,100000000,2025-26
MP0011,Rajasthan,MP Representative 0011,KOTA-5,147000000,2025-26
MP0012,Maharashtra,MP Representative 0012,SATARA-5,100000000,2025-26
MP0013,Uttar Pradesh,MP Representative 0013,LUCKNOW-5,147000000,2025-26
MP0014,West Bengal,MP Representative 0014,DURGAPUR-5,120000000,2025-26
MP0015,Karnataka,MP Representative 0015,BELAGAVI-2,147000000,2025-26
MP0016,Karnataka,MP Representative 0016,KALABURAGI-2,100000000,2025-26
MP0017,Uttar Pradesh,MP Representative 0017,AGRA-4,190000000,2025-26
MP0018,Rajasthan,MP Representative 0018,JODHPUR-3,147000000,2025-26
MP0019,Bihar,MP Representative 0019,AURANGABAD-1,175000000,2025-26
MP0020,Gujarat,MP Representative 0020,BHAVNAGAR-2,120000000,2025-26
MP0021,Telangana,MP Representative 0021,KARIMNAGAR-3,190000000,2025-26
MP0022,Tamil Nadu,MP Representative 0022,MADURAI-3,100000000,2025-26
MP0023,Bihar,MP Representative 0023,PATNA-3,150000000,2025-26
MP0024,Madhya Pradesh,MP Representative 0024,BHOPAL-2,175000000,2025-26
MP0025,Rajasthan,MP Representative 0025,JODHPUR-4,150000000,2025-26
MP0026,Telangana,MP Representative 0026,WARANGAL-3,120000000,2025-26
MP0027,Bihar,MP Representative 0027,MUZAFFARPUR-5,147000000,2025-26
MP0028,West Bengal,MP Representative 0028,SILIGURI-5,150000000,2025-26
MP0029,Rajasthan,MP Representative 0029,JODHPUR-2,175000000,2025-26
MP0030,Telangana,MP Representative 0030,HYDERABAD-1,100000000,2025-26
MP0031,Gujarat,MP Representative 0031,SURAT-4,175000000,2025-26
MP0032,Karnataka,MP Representative 0032,MYSURU-4,175000000,2025-26
MP0033,Telangana,MP Representative 0033,NIZAMABAD-5,100000000,2025-26
MP0034,Karnataka,MP Representative 0034,BALLARI-5,147000000,2025-26
MP0035,Rajasthan,MP Representative 0035,JAIPUR-3,150000000,2025-26
MP0036,Gujarat,MP Representative 0036,RAJKOT-1,190000000,2025-26
MP0037,Madhya Pradesh,MP Representative 0037,UJJAIN-2,175000000,2025-26
MP0038,Karnataka,MP Representative 0038,KALABURAGI-3,190000000,2025-26
MP0039,Tamil Nadu,MP Representative 0039,TIRUCHIRAPPALLI-2,120000000,2025-26
MP0040,Rajasthan,MP Representative 0040,JODHPUR-5,175000000,2025-26
MP0041,Maharashtra,MP Representative 0041,LATUR-3,150000000,2025-26
