Payment_ID,Project_ID,Vendor_ID,Invoice_ID,Payment_Date,Payment_Amount,Payment_Type
PAY000000001,P00000001,V009859,INV000000001,2025-08-10,2468984,First Installment
PAY000000002,P00000001,V009859,INV000000002,2025-10-18,5081016,Final Installment
PAY000000003,P00000002,V049349,INV000000003,2025-04-12,3400915,First Installment
PAY000000004,P00000002,V049349,INV000000004,2025-04-19,3879085,Final Installment
PAY000000005,P00000003,V021891,INV000000005,2025-08-16,967614,First Installment
PAY000000006,P00000003,V021891,INV000000006,2025-08-13,1872386,Final Installment
PAY000000007,P00000004,V009128,INV000000007,2025-09-24,4730000,First Installment
PAY000000008,P00000005,V019707,INV000000008,2025-09-08,3421796,First Installment
PAY000000009,P00000005,V019707,INV000000009,2025-07-16,1277104,Intermediate Installment
PAY000000010,P00000005,V019707,INV000000010,2025-09-25,1851100,Final Installment
PAY000000011,P00000006,V028476,INV000000011,2025-06-22,493182,First Installment
PAY000000012,P00000006,V028476,INV000000012,2025-06-06,746818,Final Installment
PAY000000013,P00000007,V010182,INV000000013,2025-10-14,573603,First Installment
PAY000000014,P00000007,V010182,INV000000014,2025-11-20,360679,Intermediate Installment
PAY000000015,P00000007,V010182,INV000000015,2025-08-01,465718,Final Installment
PAY000000016,P00000008,V008655,INV000000016,2025-02-06,2809188,First Installment
PAY000000017,P00000008,V008655,INV000000017,2025-06-21,1690684,Intermediate Installment
PAY000000018,P00000008,V008655,INV000000018,2025-03-08,1170128,Final Installment
PAY000000019,P00000009,V025979,INV000000019,2025-03-26,4836489,First Installment
PAY000000020,P00000009,V025979,INV000000020,2025-05-07,3503511,Final Installment
PAY000000021,P00000010,V034502,INV000000021,2025-04-12,1620000,First Installment
PAY000000022,P00000011,V042544,INV000000022,2025-03-08,2068822,First Installment
PAY000000023,P00000011,V042544,INV000000023,2025-07-14,2133272,Intermediate Installment
PAY000000024,P00000011,V042544,INV000000024,2025-06-27,1457906,Final Installment
PAY000000025,P00000012,V009429,INV000000025,2025-06-08,1580000,First Installment
PAY000000026,P00000013,V049965,INV000000026,2025-10-12,1480000,First Installment
PAY000000027,P00000014,V012325,INV000000027,2025-09-03,4166328,First Installment
PAY000000028,P00000014,V012325,INV000000028,2025-06-29,3503672,Final Installment
PAY000000029,P00000015,V008598,INV000000029,2025-06-01,2166012,First Installment
PAY000000030,P00000015,V008598,INV000000030,2025-05-07,2433988,Final Installment
PAY000000031,P00000016,V035892,INV000000031,2025-12-30,722250,First Installment
PAY000000032,P00000016,V035892,INV000000032,2025-08-30,827750,Final Installment
PAY000000033,P00000017,V046850,INV000000033,2025-08-04,347476,First Installment
PAY000000034,P00000017,V046850,INV000000034,2025-07-30,742524,Final Installment
PAY000000035,P00000018,V025614,INV000000035,2025-11-24,351981,First Installment
PAY000000036,P00000018,V025614,INV000000036,2025-11-29,116934,Intermediate Installment
PAY000000037,P00000018,V025614,INV000000037,2025-11-04,161085,Final Installment
PAY000000038,P00000019,V025106,INV000000038,2025-10-24,5080000,First Installment
PAY000000039,P00000020,V023666,INV000000039,2025-07-26,1380000,First Installment
PAY000000040,P00000021,V042162,INV000000040,2025-06-20,1333922,First Installment
PAY000000041,P00000021,V042162,INV000000041,2025-03-13,1096078,Final Installment
PAY000000042,P00000022,V045839,INV000000042,2025-05-26,3914186,First Installment
PAY000000043,P00000022,V045839,INV000000043,2025-05-10,4635814,Final Installment
PAY000000044,P00000023,V039717,INV000000044,2025-07-14,2552941,First Installment
PAY000000045,P00000023,V039717,INV000000045,2025-08-17,1173096,Intermediate Installment
PAY000000046,P00000023,V039717,INV000000046,2025-06-09,853963,Final Installment
PAY000000047,P00000024,V045442,INV000000047,2025-10-17,2555315,First Installment
PAY000000048,P00000024,V045442,INV000000048,2026-02-02,3234685,Final Installment
PAY000000049,P00000025,V041079,INV000000049,2025-06-30,1577123,First Installment
PAY000000050,P00000025,V041079,INV000000050,2025-05-09,3362877,Final Installment
PAY000000051,P00000026,V018283,INV000000051,2025-11-11,4824844,First Installment
PAY000000052,P00000026,V018283,INV000000052,2026-02-11,4435156,Final Installment
PAY000000053,P00000027,V044884,INV000000053,2025-07-26,5189610,First Installment
PAY000000054,P00000027,V044884,INV000000054,2025-08-13,4760390,Final Installment
PAY000000055,P00000028,V021834,INV000000055,2025-08-09,319385,First Installment
PAY000000056,P00000028,V021834,INV000000056,2025-07-17,192989,Intermediate Installment
PAY000000057,P00000028,V021834,INV000000057,2025-04-22,317626,Final Installment
PAY000000058,P00000029,V010272,INV000000058,2025-11-23,355062,First Installment
PAY000000059,P00000029,V010272,INV000000059,2025-10-01,384938,Final Installment
PAY000000060,P00000030,V004844,INV000000060,2025-10-11,3530000,First Installment
PAY000000061,P00000031,V047857,INV000000061,2025-12-17,1700000,First Installment
PAY000000062,P00000032,V046393,INV000000062,2025-08-04,337975,First Installment
PAY000000063,P00000032,V046393,INV000000063,2025-12-11,562025,Final Installment
PAY000000064,P00000033,V027397,INV000000064,2025-07-02,4650000,First Installment
PAY000000065,P00000034,V037717,INV000000065,2025-08-20,9880000,First Installment
PAY000000066,P00000035,V016018,INV000000066,2025-08-08,9080000,First Installment
PAY000000067,P00000036,V045872,INV000000067,2025-07-11,353227,First Installment
PAY000000068,P00000036,V045872,INV000000068,2025-06-27,195162,Intermediate Installment
PAY000000069,P00000036,V045872,INV000000069,2025-08-17,341611,Final Installment
PAY000000070,P00000037,V012584,INV000000070,2025-06-30,8530000,First Installment
PAY000000071,P00000038,V025440,INV000000071,2025-12-08,2146025,First Installment
PAY000000072,P00000038,V025440,INV000000072,2025-11-03,847223,Intermediate Installment
PAY000000073,P00000038,V025440,INV000000073,2025-11-09,766752,Final Installment
PAY000000074,P00000039,V020452,INV000000074,2025-07-10,5696957,First Installment
PAY000000075,P00000039,V020452,INV000000075,2025-11-07,3963043,Final Installment
PAY000000076,P00000040,V036740,INV000000076,2025-09-02,2236373,First Installment
PAY000000077,P00000040,V036740,INV000000077,2025-07-27,2863627,Final Installment
PAY000000078,P00000041,V035453,INV000000078,2025-04-16,1520000,First Installment
PAY000000079,P00000042,V039850,INV000000079,2025-11-24,1981392,First Installment
PAY000000080,P00000042,V039850,INV000000080,2025-08-25,3108608,Final Installment
PAY000000081,P00000043,V046038,INV000000081,2025-09-05,4930000,First Installment
PAY000000082,P00000044,V034578,INV000000082,2025-08-12,899378,First Installment
PAY000000083,P00000044,V034578,INV000000083,2025-09-06,596740,Intermediate Installment
PAY000000084,P00000044,V034578,INV000000084,2025-09-16,983882,Final Installment
PAY000000085,P00000045,V030107,INV000000085,2025-09-22,2313438,First Installment
PAY000000086,P00000045,V030107,INV000000086,2025-09-06,2816562,Final Installment
PAY000000087,P00000046,V028800,INV000000087,2025-07-16,3325344,First Installment
PAY000000088,P00000046,V028800,INV000000088,2025-08-29,5014656,Final Installment
PAY000000089,P00000047,V023503,INV000000089,2025-08-21,7790000,First Installment
PAY000000090,P00000048,V021949,INV000000090,2025-07-24,4889881,First Installment
PAY000000091,P00000048,V021949,INV000000091,2025-10-16,2130032,Intermediate Installment
PAY000000092,P00000048,V021949,INV000000092,2025-06-14,2010087,Final Installment
PAY000000093,P00000049,V032829,INV000000093,2025-08-07,2600270,First Installment
PAY000000094,P00000049,V032829,INV000000094,2025-07-16,3119730,Final Installment
PAY000000095,P00000050,V015242,INV000000095,2025-08-16,7360000,First Installment
PAY000000096,P00000051,V036176,INV000000096,2025-08-29,8740000,First Installment
PAY000000097,P00000052,V031360,INV000000097,2025-12-08,3470782,First Installment
PAY000000098,P00000052,V031360,INV000000098,2025-12-30,6379218,Final Installment
PAY000000099,P00000053,V004896,INV000000099,2025-12-16,1173651,First Installment
PAY000000100,P00000053,V004896,INV000000100,2025-09-21,2086349,Final Installment
PAY000000101,P00000054,V033432,INV000000101,2025-12-12,3711646,First Installment
PAY000000102,P00000054,V033432,INV000000102,2025-09-12,5568354,Final Installment
PAY000000103,P00000055,V022843,INV000000103,2025-04-28,415991,First Installment
PAY000000104,P00000055,V022843,INV000000104,2025-04-12,121485,Intermediate Installment
PAY000000105,P00000055,V022843,INV000000105,2025-04-14,182524,Final Installment
PAY000000106,P00000056,V016352,INV000000106,2025-09-14,5730000,First Installment
PAY000000107,P00000057,V046965,INV000000107,2026-02-13,7500000,First Installment
PAY000000108,P00000058,V009820,INV000000108,2025-08-05,4901771,First Installment
PAY000000109,P00000058,V009820,INV000000109,2025-10-15,3268229,Final Installment
PAY000000110,P00000059,V019137,INV000000110,2025-11-28,1665390,First Installment
PAY000000111,P00000059,V019137,INV000000111,2025-12-05,3384610,Final Installment
PAY000000112,P00000060,V030613,INV000000112,2025-10-02,3642179,First Installment
PAY000000113,P00000060,V030613,INV000000113,2025-12-05,3977821,Final Installment
PAY000000114,P00000061,V019068,INV000000114,2025-08-29,2405455,First Installment
PAY000000115,P00000061,V019068,INV000000115,2025-09-08,2354545,Final Installment
PAY000000116,P00000062,V039028,INV000000116,2025-12-05,2880000,First Installment
PAY000000117,P00000063,V018387,INV000000117,2025-11-26,2959557,First Installment
PAY000000118,P00000063,V018387,INV000000118,2026-01-08,1744286,Intermediate Installment
PAY000000119,P00000063,V018387,INV000000119,2026-01-01,2696157,Final Installment
PAY000000120,P00000064,V030378,INV000000120,2025-07-12,6570000,First Installment
PAY000000121,P00000065,V001525,INV000000121,2025-07-14,8930000,First Installment
PAY000000122,P00000066,V016232,INV000000122,2025-03-26,7270000,First Installment
PAY000000123,P00000067,V018841,INV000000123,2026-01-03,8770000,First Installment
PAY000000124,P00000068,V025141,INV000000124,2025-06-22,3015976,First Installment
PAY000000125,P00000068,V025141,INV000000125,2025-03-17,3114024,Final Installment
PAY000000126,P00000069,V009609,INV000000126,2025-03-22,3620000,First Installment
PAY000000127,P00000070,V041204,INV000000127,2025-08-05,3748859,First Installment
PAY000000128,P00000070,V041204,INV000000128,2025-07-12,3081141,Final Installment
PAY000000129,P00000071,V036636,INV000000129,2025-10-13,496885,First Installment
PAY000000130,P00000071,V036636,INV000000130,2025-05-16,673115,Final Installment
PAY000000131,P00000072,V020389,INV000000131,2026-01-06,3530000,First Installment
PAY000000132,P00000073,V029757,INV000000132,2025-08-15,5300000,First Installment
PAY000000133,P00000074,V048187,INV000000133,2025-04-28,986458,First Installment
PAY000000134,P00000074,V048187,INV000000134,2025-06-26,1903542,Final Installment
PAY000000135,P00000075,V011177,INV000000135,2025-09-16,1640000,First Installment
PAY000000136,P00000076,V026105,INV000000136,2025-11-23,9520000,First Installment
PAY000000137,P00000077,V000370,INV000000137,2025-10-20,1916644,First Installment
PAY000000138,P00000077,V000370,INV000000138,2025-12-10,1783356,Final Installment
PAY000000139,P00000078,V025752,INV000000139,2025-11-24,5180000,First Installment
PAY000000140,P00000079,V011841,INV000000140,2025-04-01,3674096,First Installment
PAY000000141,P00000079,V011841,INV000000141,2025-04-16,4985904,Final Installment
PAY000000142,P00000080,V043124,INV000000142,2025-09-22,4092098,First Installment
PAY000000143,P00000080,V043124,INV000000143,2025-08-25,1144871,Intermediate Installment
PAY000000144,P00000080,V043124,INV000000144,2025-06-02,1773031,Final Installment
PAY000000145,P00000081,V023128,INV000000145,2025-07-29,3465794,First Installment
PAY000000146,P00000081,V023128,INV000000146,2025-07-28,1822271,Intermediate Installment
PAY000000147,P00000081,V023128,INV000000147,2025-03-29,3491935,Final Installment
PAY000000148,P00000082,V044554,INV000000148,2025-06-18,3497813,First Installment
PAY000000149,P00000082,V044554,INV000000149,2025-09-23,1652917,Intermediate Installment
PAY000000150,P00000082,V044554,INV000000150,2025-09-12,3259270,Final Installment
PAY000000151,P00000083,V021984,INV000000151,2025-11-17,2051526,First Installment
PAY000000152,P00000083,V021984,INV000000152,2025-09-06,3518474,Final Installment
PAY000000153,P00000084,V013148,INV000000153,2025-07-19,5378983,First Installment
PAY000000154,P00000084,V013148,INV000000154,2025-10-17,4501017,Final Installment
PAY000000155,P00000085,V014898,INV000000155,2025-10-17,6750000,First Installment
PAY000000156,P00000086,V046689,INV000000156,2025-08-19,4619178,First Installment
PAY000000157,P00000086,V046689,INV000000157,2025-07-11,1908949,Intermediate Installment
PAY000000158,P00000086,V046689,INV000000158,2025-07-12,2771873,Final Installment
PAY000000159,P00000087,V031484,INV000000159,2025-07-24,2915984,First Installment
PAY000000160,P00000087,V031484,INV000000160,2025-06-19,2474016,Final Installment
PAY000000161,P00000088,V043583,INV000000161,2026-02-04,2267777,First Installment
PAY000000162,P00000088,V043583,INV000000162,2026-02-04,3852223,Final Installment
PAY000000163,P00000089,V016358,INV000000163,2025-10-21,9330000,First Installment
PAY000000164,P00000090,V020673,INV000000164,2025-12-09,9340000,First Installment
PAY000000165,P00000091,V049507,INV000000165,2025-10-22,4567563,First Installment
PAY000000166,P00000091,V049507,INV000000166,2025-10-20,1384061,Intermediate Installment
PAY000000167,P00000091,V049507,INV000000167,2025-06-03,2628376,Final Installment
PAY000000168,P00000092,V008250,INV000000168,2025-09-26,4410000,First Installment
PAY000000169,P00000093,V031213,INV000000169,2025-11-02,613330,First Installment
PAY000000170,P00000093,V031213,INV000000170,2025-09-30,206498,Intermediate Installment
PAY000000171,P00000093,V031213,INV000000171,2025-12-11,330172,Final Installment
PAY000000172,P00000094,V007672,INV000000172,2025-08-30,484081,First Installment
PAY000000173,P00000094,V007672,INV000000173,2025-09-04,242391,Intermediate Installment
PAY000000174,P00000094,V007672,INV000000174,2025-10-20,263528,Final Installment
PAY000000175,P00000095,V036142,INV000000175,2025-07-15,3547085,First Installment
PAY000000176,P00000095,V036142,INV000000176,2025-09-26,5472915,Final Installment
PAY000000177,P00000096,V028792,INV000000177,2025-09-17,469146,First Installment
PAY000000178,P00000096,V028792,INV000000178,2025-07-05,1020854,Final Installment
PAY000000179,P00000097,V021969,INV000000179,2025-09-30,2607045,First Installment
PAY000000180,P00000097,V021969,INV000000180,2025-08-04,1431454,Intermediate Installment
PAY000000181,P00000097,V021969,INV000000181,2025-08-26,2831501,Final Installment
PAY000000182,P00000098,V018640,INV000000182,2025-02-18,4095023,First Installment
PAY000000183,P00000098,V018640,INV000000183,2025-06-17,1490433,Intermediate Installment
PAY000000184,P00000098,V018640,INV000000184,2025-07-12,1464544,Final Installment
PAY000000185,P00000099,V041787,INV000000185,2025-03-24,7240000,First Installment
PAY000000186,P00000100,V007661,INV000000186,2025-05-27,642988,First Installment
PAY000000187,P00000100,V007661,INV000000187,2025-07-28,1037012,Final Installment
PAY000000188,P00000101,V008964,INV000000188,2025-08-01,853750,First Installment
PAY000000189,P00000101,V008964,INV000000189,2025-10-29,446942,Intermediate Installment
PAY000000190,P00000101,V008964,INV000000190,2025-11-04,309308,Final Installment
PAY000000191,P00000102,V046703,INV000000191,2025-08-20,719577,First Installment
PAY000000192,P00000102,V046703,INV000000192,2025-08-12,480423,Final Installment
PAY000000193,P00000103,V005756,INV000000193,2025-10-16,2660000,First Installment
PAY000000194,P00000104,V033449,INV000000194,2025-10-18,5540000,First Installment
PAY000000195,P00000105,V015473,INV000000195,2025-05-05,1410000,First Installment
PAY000000196,P00000106,V033340,INV000000196,2025-11-09,1353426,First Installment
PAY000000197,P00000106,V033340,INV000000197,2025-08-27,2666574,Final Installment
PAY000000198,P00000107,V001342,INV000000198,2025-12-06,7390000,First Installment
PAY000000199,P00000108,V028171,INV000000199,2025-07-29,1070000,First Installment
PAY000000200,P00000109,V018964,INV000000200,2025-07-26,4091069,First Installment
PAY000000201,P00000109,V018964,INV000000201,2025-07-27,3648931,Final Installment
PAY000000202,P00000110,V031962,INV000000202,2025-04-14,568857,First Installment
PAY000000203,P00000110,V031962,INV000000203,2025-04-13,1111143,Final Installment
PAY000000204,P00000111,V033119,INV000000204,2025-05-28,1992197,First Installment
PAY000000205,P00000111,V033119,INV000000205,2025-03-15,1997803,Final Installment
PAY000000206,P00000112,V049031,INV000000206,2025-11-03,4747561,First Installment
PAY000000207,P00000112,V049031,INV000000207,2025-07-05,2754932,Intermediate Installment
PAY000000208,P00000112,V049031,INV000000208,2025-09-24,2377507,Final Installment
PAY000000209,P00000113,V046912,INV000000209,2025-07-19,3480675,First Installment
PAY000000210,P00000113,V046912,INV000000210,2025-10-29,6309325,Final Installment
PAY000000211,P00000114,V032442,INV000000211,2025-11-13,2815346,First Installment
PAY000000212,P00000114,V032442,INV000000212,2025-08-21,5374654,Final Installment
PAY000000213,P00000115,V002692,INV000000213,2025-06-09,5930000,First Installment
PAY000000214,P00000116,V039155,INV000000214,2025-05-29,5097483,First Installment
PAY000000215,P00000116,V039155,INV000000215,2025-06-27,2513923,Intermediate Installment
PAY000000216,P00000116,V039155,INV000000216,2025-09-19,2278594,Final Installment
PAY000000217,P00000117,V013454,INV000000217,2025-11-05,4214463,First Installment
PAY000000218,P00000117,V013454,INV000000218,2025-07-18,1411268,Intermediate Installment
PAY000000219,P00000117,V013454,INV000000219,2025-06-27,2064269,Final Installment
PAY000000220,P00000118,V019705,INV000000220,2025-07-15,1750535,First Installment
PAY000000221,P00000118,V019705,INV000000221,2025-03-03,980814,Intermediate Installment
PAY000000222,P00000118,V019705,INV000000222,2025-06-04,918651,Final Installment
PAY000000223,P00000119,V011094,INV000000223,2025-01-30,3406354,First Installment
PAY000000224,P00000119,V011094,INV000000224,2025-02-04,1309564,Intermediate Installment
PAY000000225,P00000119,V011094,INV000000225,2025-04-09,1274082,Final Installment
PAY000000226,P00000120,V024215,INV000000226,2025-06-06,3720000,First Installment
PAY000000227,P00000121,V005924,INV000000227,2025-08-20,3730000,First Installment
PAY000000228,P00000122,V025589,INV000000228,2025-08-21,1717986,First Installment
PAY000000229,P00000122,V025589,INV000000229,2025-11-30,2652014,Final Installment
PAY000000230,P00000123,V014930,INV000000230,2025-07-27,1370000,First Installment
PAY000000231,P00000124,V023615,INV000000231,2025-05-09,1302857,First Installment
PAY000000232,P00000124,V023615,INV000000232,2025-06-05,368327,Intermediate Installment
PAY000000233,P00000124,V023615,INV000000233,2025-08-08,508816,Final Installment
PAY000000234,P00000125,V045839,INV000000234,2025-02-22,940019,First Installment
PAY000000235,P00000125,V045839,INV000000235,2025-05-18,1609981,Final Installment
PAY000000236,P00000126,V042911,INV000000236,2025-06-12,2987528,First Installment
PAY000000237,P00000126,V042911,INV000000237,2025-05-28,6062472,Final Installment
PAY000000238,P00000127,V034522,INV000000238,2025-12-06,1840000,First Installment
PAY000000239,P00000128,V014596,INV000000239,2025-09-14,1155804,First Installment
PAY000000240,P00000128,V014596,INV000000240,2025-07-30,1564196,Final Installment
PAY000000241,P00000129,V017580,INV000000241,2025-05-05,4039805,First Installment
PAY000000242,P00000129,V017580,INV000000242,2025-04-12,2431725,Intermediate Installment
PAY000000243,P00000129,V017580,INV000000243,2025-03-23,2658470,Final Installment
PAY000000244,P00000130,V033394,INV000000244,2025-07-05,5110000,First Installment
PAY000000245,P00000131,V041043,INV000000245,2025-07-17,1545742,First Installment
PAY000000246,P00000131,V041043,INV000000246,2025-06-09,3494258,Final Installment
PAY000000247,P00000132,V016538,INV000000247,2025-10-13,2872586,First Installment
PAY000000248,P00000132,V016538,INV000000248,2025-08-04,6447414,Final Installment
PAY000000249,P00000133,V041394,INV000000249,2025-12-07,1569818,First Installment
PAY000000250,P00000133,V041394,INV000000250,2025-11-30,625428,Intermediate Installment
PAY000000251,P00000133,V041394,INV000000251,2025-09-11,544754,Final Installment
PAY000000252,P00000134,V020897,INV000000252,2025-07-16,2378760,First Installment
PAY000000253,P00000134,V020897,INV000000253,2025-05-17,685299,Intermediate Installment
PAY000000254,P00000134,V020897,INV000000254,2025-05-05,935941,Final Installment
PAY000000255,P00000135,V024452,INV000000255,2025-09-19,2524169,First Installment
PAY000000256,P00000135,V024452,INV000000256,2025-06-30,2415831,Final Installment
PAY000000257,P00000136,V011961,INV000000257,2025-09-28,5021057,First Installment
PAY000000258,P00000136,V011961,INV000000258,2025-11-18,1123260,Intermediate Installment
PAY000000259,P00000136,V011961,INV000000259,2025-12-10,2295683,Final Installment
PAY000000260,P00000137,V007407,INV000000260,2025-08-31,6950000,First Installment
PAY000000261,P00000138,V005950,INV000000261,2025-05-22,959072,First Installment
PAY000000262,P00000138,V005950,INV000000262,2025-07-26,423798,Intermediate Installment
PAY000000263,P00000138,V005950,INV000000263,2025-06-14,287130,Final Installment
PAY000000264,P00000139,V047206,INV000000264,2025-08-04,421435,First Installment
PAY000000265,P00000139,V047206,INV000000265,2025-10-14,778565,Final Installment
PAY000000266,P00000140,V047071,INV000000266,2025-06-19,3181954,First Installment
PAY000000267,P00000140,V047071,INV000000267,2025-05-07,1712301,Intermediate Installment
PAY000000268,P00000140,V047071,INV000000268,2025-09-18,2585745,Final Installment
PAY000000269,P00000141,V004258,INV000000269,2025-03-29,750000,First Installment
PAY000000270,P00000142,V032546,INV000000270,2025-11-28,3368808,First Installment
PAY000000271,P00000142,V032546,INV000000271,2025-09-22,3661192,Final Installment
PAY000000272,P00000143,V008834,INV000000272,2025-10-20,4589600,First Installment
PAY000000273,P00000143,V008834,INV000000273,2025-09-28,3450400,Final Installment
PAY000000274,P00000144,V037163,INV000000274,2025-08-23,5941878,First Installment
PAY000000275,P00000144,V037163,INV000000275,2025-09-04,3968122,Final Installment
PAY000000276,P00000145,V018760,INV000000276,2025-06-01,642132,First Installment
PAY000000277,P00000145,V018760,INV000000277,2025-09-08,497868,Final Installment
PAY000000278,P00000146,V042417,INV000000278,2025-04-13,4275484,First Installment
PAY000000279,P00000146,V042417,INV000000279,2025-07-25,2292493,Intermediate Installment
PAY000000280,P00000146,V042417,INV000000280,2025-06-29,3132023,Final Installment
PAY000000281,P00000147,V008725,INV000000281,2025-05-03,1176256,First Installment
PAY000000282,P00000147,V008725,INV000000282,2025-04-04,1273744,Final Installment
PAY000000283,P00000148,V031268,INV000000283,2025-07-17,5304895,First Installment
PAY000000284,P00000148,V031268,INV000000284,2025-08-14,3885105,Final Installment
PAY000000285,P00000149,V007035,INV000000285,2025-06-30,1382751,First Installment
PAY000000286,P00000149,V007035,INV000000286,2025-05-02,1155271,Intermediate Installment
PAY000000287,P00000149,V007035,INV000000287,2025-03-04,1031978,Final Installment
PAY000000288,P00000150,V024321,INV000000288,2025-06-14,2538677,First Installment
PAY000000289,P00000150,V024321,INV000000289,2025-02-27,3333404,Intermediate Installment
PAY000000290,P00000150,V024321,INV000000290,2025-05-16,2507919,Final Installment
PAY000000291,P00000151,V014762,INV000000291,2025-06-12,2643202,First Installment
PAY000000292,P00000151,V014762,INV000000292,2025-05-28,2178971,Intermediate Installment
PAY000000293,P00000151,V014762,INV000000293,2025-07-01,2537827,Final Installment
PAY000000294,P00000152,V046439,INV000000294,2025-09-25,2660000,First Installment
PAY000000295,P00000153,V031888,INV000000295,2025-10-25,3760000,First Installment
PAY000000296,P00000154,V020017,INV000000296,2025-02-16,3632483,First Installment
