Photo_ID,Project_ID,Photo_Date,Latitude,Longitude,Claimed_Latitude,Claimed_Longitude,GPS_Distance_KM,Photo_Hash,Duplicate_Photo_Flag,GPS_Verification
PH00000001,P00000001,2025-12-06,15.834142,73.306381,15.834142,73.306381,0.4,11934d0a693694b8,No,Verified
PH00000002,P00000002,2025-11-01,23.829261,70.94427,23.829261,70.94427,0.42,bbcee73af52d19a0,No,Verified
PH00000003,P00000003,2025-12-19,26.755145,95.578749,26.755145,95.578749,0.28,069e7b584372579c,No,Verified
PH00000004,P00000004,2025-12-02,18.160199,83.630395,18.160199,83.630395,0.05,987ba58dcb4874f7,No,Verified
PH00000005,P00000005,2025-12-11,24.804228,83.122927,24.804228,83.122927,0.18,8abcb0c543856e3b,No,Verified
PH00000006,P00000006,2025-05-25,11.897532,83.771093,11.897532,83.771093,0.19,90803da5d5fa92fd,No,Verified
PH00000007,P00000007,2025-08-28,16.467677,68.716121,16.467677,68.716121,0.05,2aa1c9868c85a4bd,No,Verified
PH00000008,P00000008,2025-03-25,18.209732,93.262298,18.209732,93.262298,0.24,36ec748965cf8bda,No,Verified
PH00000009,P00000009,2025-03-25,33.23679,79.964838,33.23679,79.964838,0.34,728496a70a32f105,No,Verified
PH00000010,P00000010,2025-08-13,10.584004,69.194196,11.56815,70.330574,71.08,463e871998f02e79,Yes,Duplicate
PH00000011,P00000011,2025-05-14,8.310075,73.056014,8.73633,73.66068,113.39,a86ff95f42a39480,No,Mismatch
PH00000012,P00000012,2025-09-11,10.796802,93.799602,10.796802,93.799602,0.18,a56797d58d4b7aef,No,Verified
PH00000013,P00000013,2025-06-10,14.198307,78.489943,14.198307,78.489943,0.27,1f9c86d0f262cd0b,No,Verified
PH00000014,P00000014,2025-09-05,32.462696,87.409641,32.462696,87.409641,0.22,e66eb0241cabcde7,No,Verified
PH00000015,P00000015,2025-03-16,23.601628,89.266572,23.601628,89.266572,0.34,61af0dc8ffcf3ba4,No,Verified
PH00000016,P00000016,2026-02-26,8.340494,80.07451,8.340494,80.07451,0.46,8a2d52a6fb8a517f,No,Verified
PH00000017,P00000017,2025-10-14,17.066798,68.566052,17.066798,68.566052,0.38,49cc92a87452e5e6,No,Verified
PH00000018,P00000018,2025-12-30,10.829616,74.203583,10.829616,74.203583,0.28,f6ede937bc92d0e2,No,Verified
PH00000019,P00000019,2025-10-31,20.81188,88.704759,21.125653,89.459737,60.19,7cd56d31ae0421c9,Yes,Duplicate
PH00000020,P00000020,2025-09-02,9.456669,89.016673,10.192774,89.81487,30.81,cbd0a83c89a974dd,Yes,Duplicate
PH00000021,P00000021,2025-07-23,30.627041,88.085988,30.627041,88.085988,0.07,8ae2379b234ad606,No,Verified
PH00000022,P00000022,2025-10-28,23.634914,93.027227,23.634914,93.027227,0.35,a2b335520e3c61cf,No,Verified
PH00000023,P00000023,2025-06-10,21.287274,72.298963,21.287274,72.298963,0.25,40f57b44db56fd71,No,Verified
PH00000024,P00000024,2026-01-29,26.701076,77.144224,26.701076,77.144224,0.32,0737919dfae8f82b,No,Verified
PH00000025,P00000025,2025-10-28,25.724755,80.777916,25.724755,80.777916,0.08,dcd1557fe7fc846d,No,Verified
PH00000026,P00000026,2025-12-25,9.83936,89.715749,9.83936,89.715749,0.17,deb38ed810034f62,No,Verified
PH00000027,P00000027,2025-10-15,27.100088,74.114495,27.100088,74.114495,0.07,40435b6e2cbf1802,No,Verified
PH00000028,P00000028,2025-07-14,16.874658,86.144834,17.439628,86.8696,23.41,ef4c96c76009d576,Yes,Duplicate
PH00000029,P00000029,2026-01-28,25.173774,76.937242,25.173774,76.937242,0.28,c37ab1294f4bc563,No,Verified
PH00000030,P00000030,2025-11-07,13.71745,76.451856,13.71745,76.451856,0.23,ea20259737252f35,No,Verified
PH00000031,P00000031,2026-01-19,22.537969,76.425752,22.537969,76.425752,0.35,d1f79929489664e7,No,Verified
PH00000032,P00000032,2026-01-13,15.161348,85.968432,15.161348,85.968432,0.23,ceb7423bd7e508d3,No,Verified
PH00000033,P00000033,2025-09-11,24.133714,78.640664,24.133714,78.640664,0.47,b08a14b4efa781c3,No,Verified
PH00000034,P00000034,2026-02-16,31.854267,91.304378,31.854267,91.304378,0.22,d3cf25e6c9ec842e,No,Verified
PH00000035,P00000035,2025-09-24,33.683759,91.296796,33.683759,91.296796,0.26,9f616e5f192f7603,No,Verified
PH00000036,P00000036,2025-09-17,26.064899,95.329276,26.064899,95.329276,0.45,355cc0b2d7007420,No,Verified
PH00000037,P00000037,2025-10-17,18.308492,93.535055,18.308492,93.535055,0.07,7cb520189d0c6e7d,No,Verified
PH00000038,P00000038,2026-04-13,30.403923,86.324647,30.403923,86.324647,0.33,8d026d93e094acd5,No,Verified
PH00000039,P00000039,2025-10-24,24.726511,85.954708,24.726511,85.954708,0.23,0c9f7f652000387f,No,Verified
PH00000040,P00000040,2025-09-18,33.814482,77.805069,33.814482,77.805069,0.23,69079792d6ca75ca,No,Verified
PH00000041,P00000041,2025-06-04,12.989814,93.52232,12.989814,93.52232,0.05,352754f9cec035c1,No,Verified
PH00000042,P00000042,2026-02-06,25.31895,92.463156,25.31895,92.463156,0.35,046486798a94d15d,No,Verified
PH00000043,P00000043,2025-06-17,14.874324,86.159231,14.874324,86.159231,0.4,254df74d2a9e0642,No,Verified
PH00000044,P00000044,2026-02-01,22.087328,81.437953,22.087328,81.437953,0.42,707a3d10d28e0c02,No,Verified
PH00000045,P00000045,2025-10-24,32.064735,89.294519,32.451351,89.881925,75.1,8f99087bb6765166,No,Mismatch
PH00000046,P00000046,2025-09-19,26.625343,69.406348,26.625343,69.406348,0.23,c0500e4d2e05a829,No,Verified
PH00000047,P00000047,2025-11-20,29.448648,74.182065,30.368071,75.32228,140.41,1508fade939cac15,No,Mismatch
PH00000048,P00000048,2025-09-11,14.970986,79.75594,14.970986,79.75594,0.39,340fc7d1fd8d8843,No,Verified
PH00000049,P00000049,2025-06-13,24.922139,90.894636,24.922139,90.894636,0.13,6f91fa4c3b2f4592,No,Verified
PH00000050,P00000050,2025-07-26,8.765183,69.340456,8.765183,69.340456,0.09,bb8a98e64009da48,No,Verified
PH00000051,P00000051,2025-12-14,15.920996,87.405924,15.920996,87.405924,0.23,94b442d5df156d31,No,Verified
PH00000052,P00000052,2026-02-11,19.018439,90.279567,19.018439,90.279567,0.23,958c4393b5d5e9bc,No,Verified
PH00000053,P00000053,2025-10-22,21.4244,91.974817,21.4244,91.974817,0.49,5ae325ed0c467461,No,Verified
PH00000054,P00000054,2025-12-31,18.300507,94.471235,19.465454,95.25531,122.85,c48af92d0b733d26,Yes,Duplicate
PH00000055,P00000055,2025-02-24,33.256906,92.703211,33.256906,92.703211,0.02,e76a8f1c39ef1627,No,Verified
PH00000056,P00000056,2025-06-18,26.550751,86.356032,26.550751,86.356032,0.3,1e1734c2fdb509aa,No,Verified
PH00000057,P00000057,2025-11-19,14.293519,70.908884,14.293519,70.908884,0.24,cd3a284ae10e2a2b,No,Verified
PH00000058,P00000058,2026-01-26,27.981754,92.026023,27.981754,92.026023,0.22,0995e64a36c8eee4,No,Verified
PH00000059,P00000059,2025-11-21,9.607,75.712115,9.607,75.712115,0.17,d35fd51b1a0b40c9,No,Verified
PH00000060,P00000060,2025-09-29,13.327577,75.393653,13.327577,75.393653,0.48,43f382cc07c1685e,No,Verified
PH00000061,P00000061,2025-12-19,11.26211,96.472186,11.26211,96.472186,0.29,d6675a353c9316f9,No,Verified
PH00000062,P00000062,2026-01-14,13.791552,77.297054,13.791552,77.297054,0.05,6539e222c5b656a3,No,Verified
PH00000063,P00000063,2025-12-23,11.110429,87.697273,11.110429,87.697273,0.24,6978ee9a21acaee2,No,Verified
PH00000064,P00000064,2025-10-08,34.991247,94.424578,34.991247,94.424578,0.22,1a2b5e9ef3128940,No,Verified
PH00000065,P00000065,2025-09-01,17.503013,88.538953,18.537255,89.251063,47.45,39a7e6b67dd3e1ec,Yes,Duplicate
PH00000066,P00000066,2025-03-23,8.214061,75.38866,9.16568,76.42662,25.79,159709c943700d72,No,Mismatch
PH00000067,P00000067,2025-09-18,23.788269,86.723366,23.788269,86.723366,0.24,900e7d2c7c6db0e9,No,Verified
PH00000068,P00000068,2025-06-17,8.200522,84.930608,8.200522,84.930608,0.31,2e3967f341676274,No,Verified
PH00000069,P00000069,2025-08-31,10.443598,71.295965,10.443598,71.295965,0.5,1b95f560e58745a5,No,Verified
PH00000070,P00000070,2025-09-18,28.188292,92.82212,28.188292,92.82212,0.4,7f18fc48c597d82f,No,Verified
PH00000071,P00000071,2025-07-05,14.916824,87.308798,14.916824,87.308798,0.31,44917d94259480ff,No,Verified
PH00000072,P00000072,2026-03-31,25.123414,73.45557,25.123414,73.45557,0.12,260301b3b1d3a090,No,Verified
PH00000073,P00000073,2025-08-06,26.752903,74.217324,26.752903,74.217324,0.35,6adc2a55da164a0f,No,Verified
PH00000074,P00000074,2025-11-27,15.907867,80.824161,15.907867,80.824161,0.33,7a9ec17dfdaf9ffc,No,Verified
PH00000075,P00000075,2026-01-28,26.707577,77.253482,26.707577,77.253482,0.49,70b7942e7f2a6ce9,No,Verified
PH00000076,P00000076,2025-10-15,11.621341,91.991938,11.621341,91.991938,0.49,ecd8ba07cbd42106,No,Verified
PH00000077,P00000077,2025-10-20,32.46533,81.159779,32.46533,81.159779,0.27,24e22f10cf45d217,No,Verified
PH00000078,P00000078,2026-01-23,11.714196,92.184358,11.714196,92.184358,0.2,4d2c0c26240a22cd,No,Verified
PH00000079,P00000079,2025-08-04,27.751158,95.471708,27.751158,95.471708,0.23,9b83dd63546aa219,No,Verified
