Source_ID,Source_Type,Relationship,Target_ID,Target_Type
MP0052,MP,Allocated,P00000001,Project
MP0093,MP,Allocated,P00000002,Project
MP0015,MP,Allocated,P00000003,Project
MP0072,MP,Allocated,P00000004,Project
MP0061,MP,Allocated,P00000005,Project
MP0021,MP,Allocated,P00000006,Project
MP0083,MP,Allocated,P00000007,Project
MP0087,MP,Allocated,P00000008,Project
MP0075,MP,Allocated,P00000009,Project
MP0075,MP,Allocated,P00000010,Project
MP0088,MP,Allocated,P00000011,Project
MP0100,MP,Allocated,P00000012,Project
MP0024,MP,Allocated,P00000013,Project
MP0003,MP,Allocated,P00000014,Project
MP0022,MP,Allocated,P00000015,Project
MP0053,MP,Allocated,P00000016,Project
MP0002,MP,Allocated,P00000017,Project
MP0088,MP,Allocated,P00000018,Project
MP0030,MP,Allocated,P00000019,Project
MP0038,MP,Allocated,P00000020,Project
MP0002,MP,Allocated,P00000021,Project
MP0064,MP,Allocated,P00000022,Project
MP0060,MP,Allocated,P00000023,Project
MP0021,MP,Allocated,P00000024,Project
MP0033,MP,Allocated,P00000025,Project
MP0076,MP,Allocated,P00000026,Project
MP0058,MP,Allocated,P00000027,Project
MP0022,MP,Allocated,P00000028,Project
MP0089,MP,Allocated,P00000029,Project
MP0049,MP,Allocated,P00000030,Project
MP0091,MP,Allocated,P00000031,Project
MP0059,MP,Allocated,P00000032,Project
MP0042,MP,Allocated,P00000033,Project
MP0092,MP,Allocated,P00000034,Project
MP0060,MP,Allocated,P00000035,Project
MP0080,MP,Allocated,P00000036,Project
MP0015,MP,Allocated,P00000037,Project
MP0062,MP,Allocated,P00000038,Project
MP0062,MP,Allocated,P00000039,Project
MP0047,MP,Allocated,P00000040,Project
MP0062,MP,Allocated,P00000041,Project
MP0051,MP,Allocated,P00000042,Project
MP0055,MP,Allocated,P00000043,Project
MP0064,MP,Allocated,P00000044,Project
MP0003,MP,Allocated,P00000045,Project
MP0051,MP,Allocated,P00000046,Project
MP0007,MP,Allocated,P00000047,Project
MP0021,MP,Allocated,P00000048,Project
MP0073,MP,Allocated,P00000049,Project
MP0039,MP,Allocated,P00000050,Project
MP0018,MP,Allocated,P00000051,Project
MP0004,MP,Allocated,P00000052,Project
MP0089,MP,Allocated,P00000053,Project
MP0060,MP,Allocated,P00000054,Project
MP0014,MP,Allocated,P00000055,Project
MP0009,MP,Allocated,P00000056,Project
MP0090,MP,Allocated,P00000057,Project
MP0053,MP,Allocated,P00000058,Project
MP0002,MP,Allocated,P00000059,Project
MP0084,MP,Allocated,P00000060,Project
MP0092,MP,Allocated,P00000061,Project
MP0060,MP,Allocated,P00000062,Project
MP0071,MP,Allocated,P00000063,Project
MP0044,MP,Allocated,P00000064,Project
MP0008,MP,Allocated,P00000065,Project
