Project_ID,ML_Anomaly_Score,Graph_Risk_Score,Photo_Risk_Score,Work_Splitting_Score,Vendor_Concentration_Score,Utilization_Risk_Score,Final_Risk_Score,Risk_Level
P00000001,11,13,0,24,18,0,11,Low
P00000002,8,60,0,31,23,0,20,Low
P00000003,16,19,0,8,15,0,9,Low
P00000004,20,17,0,8,27,1,12,Low
P00000005,12,30,0,8,23,6,13,Low
P00000006,18,14,0,19,29,1,13,Low
P00000007,33,14,0,24,29,2,17,Low
P00000008,31,74,0,16,14,3,23,Low
P00000009,52,21,0,33,26,43,29,Low
P00000010,25,5,30,22,34,1,19,Low
P00000011,6,33,70,28,10,0,24,Low
P00000012,28,22,0,15,64,4,22,Low
P00000013,31,30,0,16,15,4,16,Low
P00000014,22,24,0,32,19,2,16,Low
P00000015,11,29,0,32,15,1,14,Low
P00000016,33,10,0,10,19,4,12,Low
P00000017,35,5,0,23,35,2,16,Low
P00000018,19,13,0,22,20,0,12,Low
P00000019,10,32,30,18,58,4,25,Low
P00000020,6,15,30,14,7,2,12,Low
P00000021,6,16,0,35,25,0,13,Low
P00000022,65,34,0,17,23,45,30,Low
P00000023,23,23,0,8,15,3,12,Low
P00000024,26,11,0,32,7,25,16,Low
P00000025,17,19,0,24,11,2,12,Low
P00000026,20,14,0,28,16,2,13,Low
P00000027,6,19,0,7,28,6,11,Low
P00000028,28,35,30,7,11,5,19,Low
P00000029,28,17,0,14,23,2,14,Low
P00000030,10,7,0,33,18,6,12,Low
P00000031,29,79,0,33,18,0,26,Low
P00000032,22,8,0,16,15,2,10,Low
P00000033,6,66,0,20,19,1,18,Low
P00000034,17,57,0,7,26,2,18,Low
P00000035,34,28,0,13,14,6,15,Low
P00000036,27,17,0,24,33,0,16,Low
P00000037,29,15,0,23,34,1,17,Low
P00000038,30,51,0,10,27,5,20,Low
P00000039,64,33,0,12,24,58,31,Low
P00000040,7,13,0,8,28,3,9,Low
P00000041,22,6,0,23,41,5,16,Low
P00000042,32,11,0,30,14,0,14,Low
P00000043,20,33,0,12,21,6,15,Low
P00000044,14,70,0,25,17,4,21,Low
P00000045,8,34,70,17,21,2,25,Low
P00000046,21,34,0,22,15,2,15,Low
P00000047,26,32,70,9,21,1,26,Low
P00000048,5,21,0,31,19,4,13,Low
P00000049,20,47,0,15,27,2,18,Low
P00000050,32,27,0,15,29,4,17,Low
P00000051,32,21,0,6,18,1,13,Low
P00000052,27,50,0,26,26,4,22,Low
P00000053,10,28,0,17,35,0,15,Low
P00000054,20,34,30,32,5,7,21,Low
P00000055,32,14,0,10,6,5,11,Low
P00000056,11,13,0,13,14,0,8,Low
P00000057,5,80,0,29,5,3,20,Low
P00000058,31,9,0,17,27,23,17,Low
P00000059,29,60,0,10,25,4,21,Low
P00000060,34,31,0,30,7,3,17,Low
P00000061,6,14,0,34,13,0,11,Low
P00000062,35,18,0,18,31,2,17,Low
P00000063,18,30,0,17,62,1,21,Low
P00000064,30,9,0,20,12,7,13,Low
P00000065,19,14,30,13,26,5,17,Low
P00000066,32,21,70,10,14,6,25,Low
P00000067,22,6,0,20,17,3,11,Low
P00000068,28,25,0,19,31,6,18,Low
P00000069,63,13,0,32,26,50,30,Low
P00000070,6,23,0,16,16,1,10,Low
P00000071,8,33,0,11,16,0,11,Low
P00000072,7,15,0,28,30,1,13,Low
P00000073,16,24,0,18,31,4,15,Low
P00000074,6,21,0,20,30,0,12,Low
P00000075,25,23,0,6,32,1,14,Low
P00000076,5,5,0,20,9,2,6,Low
P00000077,12,13,0,14,30,3,12,Low
P00000078,8,9,0,13,30,2,10,Low
P00000079,21,8,0,9,73,1,18,Low
P00000080,20,10,0,15,10,0,9,Low
P00000081,27,19,0,7,7,1,10,Low
P00000082,33,17,30,16,23,2,20,Low
P00000083,13,6,0,27,34,4,14,Low
P00000084,23,9,70,31,56,0,31,Low
P00000085,5,9,0,23,15,2,9,Low
P00000086,68,17,0,28,24,51,31,Low
P00000087,11,27,0,27,26,5,16,Low
P00000088,14,75,0,7,25,0,20,Low
P00000089,15,9,0,19,30,5,13,Low
P00000090,9,47,0,14,14,4,14,Low
P00000091,24,31,0,10,29,2,16,Low
P00000092,22,64,0,20,29,2,22,Low
P00000093,14,33,0,22,35,6,18,Low
P00000094,8,19,0,26,11,6,11,Low
P00000095,7,9,0,34,34,6,15,Low
P00000096,21,24,0,19,5,6,12,Low
P00000097,30,26,0,24,33,2,19,Low
P00000098,6,19,0,19,31,4,13,Low
P00000099,27,70,0,24,11,3,22,Low
P00000100,32,18,0,29,55,6,23,Low
P00000101,51,14,0,15,70,48,33,Low
P00000102,8,26,0,22,6,1,10,Low
P00000103,21,28,70,29,8,1,26,Low
P00000104,12,77,0,25,16,32,27,Low
P00000105,24,32,0,15,34,33,23,Low
P00000106,25,23,0,10,28,6,15,Low
P00000107,30,23,0,26,28,2,18,Low
P00000108,18,31,0,27,24,1,16,Low
P00000109,31,5,0,16,9,6,11,Low
P00000110,11,73,0,12,21,3,20,Low
P00000111,35,6,0,16,11,4,12,Low
P00000112,6,11,0,7,30,7,10,Low
P00000113,31,10,0,35,34,2,18,Low
P00000114,24,19,0,25,20,5,15,Low
P00000115,15,34,0,23,29,25,21,Low
P00000116,19,17,0,13,61,0,18,Low
P00000117,32,19,0,15,31,1,16,Low
P00000118,27,9,0,20,28,2,14,Low
P00000119,8,35,0,8,28,0,13,Low
P00000120,16,82,0,16,10,0,20,Low
P00000121,28,26,0,21,12,4,15,Low
P00000122,15,32,0,17,30,1,15,Low
P00000123,25,18,0,11,32,1,14,Low
P00000124,29,34,0,13,35,5,19,Low
P00000125,27,31,0,7,33,2,16,Low
P00000126,21,19,0,30,8,1,13,Low
P00000127,12,21,0,32,60,1,21,Low
P00000128,14,9,0,35,33,5,16,Low
P00000129,30,27,0,27,5,3,15,Low
P00000130,8,35,0,8,18,5,12,Low
P00000131,12,24,0,30,34,0,16,Low
P00000132,5,32,0,28,22,0,14,Low
P00000133,33,27,0,17,82,2,26,Low
P00000134,70,26,0,21,35,55,34,Low
P00000135,28,10,70,20,9,3,23,Low
P00000136,13,6,0,27,25,2,12,Low
P00000137,27,21,0,13,16,0,12,Low
P00000138,14,30,0,13,15,4,12,Low
P00000139,14,19,0,12,15,5,10,Low
P00000140,9,30,0,11,9,6,10,Low
P00000141,10,29,0,20,8,6,12,Low
P00000142,31,23,0,14,27,4,16,Low
P00000143,30,9,0,10,18,3,11,Low
P00000144,16,35,0,22,8,5,14,Low
P00000145,19,16,30,8,33,6,18,Low
P00000146,34,17,0,35,30,3,19,Low
P00000147,10,14,0,18,8,2,8,Low
P00000148,13,35,0,28,12,1,14,Low
P00000149,28,33,0,15,14,3,15,Low
P00000150,5,17,0,27,5,0,9,Low
P00000151,28,8,0,26,11,3,12,Low
P00000152,20,26,0,33,8,3,15,Low
P00000153,6,11,0,9,31,1,9,Low
P00000154,14,21,0,7,31,5,13,Low
P00000155,22,30,0,10,18,5,14,Low
P00000156,14,13,0,18,15,2,10,Low
P00000157,22,24,0,18,32,1,16,Low
P00000158,27,30,0,29,25,5,19,Low
P00000159,31,17,0,20,11,5,14,Low
P00000160,7,19,0,24,48,4,17,Low
P00000161,65,30,0,29,12,44,30,Low
P00000162,54,6,30,15,26,47,29,Low
P00000163,35,33,0,14,34,4,20,Low
P00000164,24,33,0,33,19,1,18,Low
P00000165,31,57,0,25,23,2,23,Low
P00000166,17,15,0,27,19,0,13,Low
P00000167,19,12,0,7,17,2,9,Low
P00000168,14,21,0,25,31,2,15,Low
P00000169,32,17,0,29,28,1,17,Low
P00000170,19,14,0,34,69,2,23,Low
P00000171,16,34,0,6,22,5,13,Low
