UC_ID,Project_ID,UC_Submission_Date,Claimed_Utilized_Amount,Actual_Utilized_Amount,Completion_Percentage,UC_Status
UC00000001,P00000001,2026-01-14,7480610,7468267,92,Verified
UC00000002,P00000002,2025-08-30,7040521,6979592,92,Verified
UC00000003,P00000003,2026-02-27,2164133,2149642,93,Verified
UC00000004,P00000004,2026-02-15,4015006,3940681,95,Under Review
UC00000005,P00000005,2025-12-25,6194161,5813054,88,Verified
UC00000006,P00000006,2025-06-25,1009765,991675,83,Verified
UC00000007,P00000007,2025-12-09,1139404,1106238,90,Verified
UC00000008,P00000008,2025-05-23,5670000,5477098,97,Verified
UC00000009,P00000009,2025-05-25,8144214,4612173,55,Under Review
UC00000010,P00000010,2025-10-25,1411698,1393320,100,Verified
UC00000011,P00000011,2025-06-22,5490359,5461489,87,Under Review
UC00000012,P00000012,2025-10-21,1436275,1370334,87,Verified
UC00000013,P00000013,2026-01-17,1480000,1409274,89,Under Review
UC00000014,P00000014,2025-11-29,7158144,7013359,98,Verified
UC00000015,P00000015,2025-08-07,3600150,3560856,93,Verified
UC00000016,P00000016,2026-03-12,1350532,1295121,96,Under Review
UC00000017,P00000017,2025-11-12,847792,830072,95,Verified
UC00000018,P00000018,2026-01-13,630000,629601,84,Under Review
UC00000019,P00000019,2025-09-27,4988351,4749427,89,Verified
UC00000020,P00000020,2025-08-07,1380000,1344271,86,Verified
UC00000021,P00000021,2025-07-16,1948003,1929036,97,Verified
UC00000022,P00000022,2025-07-23,7917802,4285221,74,Suspicious
UC00000023,P00000023,2025-09-28,4578184,4438962,98,Verified
UC00000024,P00000024,2026-03-06,5279660,3929039,43,Suspicious
UC00000025,P00000025,2025-12-21,4460665,4329162,94,Verified
UC00000026,P00000026,2026-02-28,8473533,8288281,81,Under Review
UC00000027,P00000027,2025-09-04,8329204,7800548,85,Verified
UC00000028,P00000028,2025-09-10,830000,788399,94,Verified
UC00000029,P00000029,2026-04-13,740000,723319,95,Verified
UC00000030,P00000030,2026-04-08,2966432,2785590,83,Verified
UC00000031,P00000031,2026-01-27,1496125,1491065,96,Verified
UC00000032,P00000032,2026-03-04,818813,799286,96,Verified
UC00000033,P00000033,2025-07-27,4650000,4557333,99,Under Review
