Vendor_ID,Vendor_Name,Registration_ID,State,District,Bank_Account_ID,Vendor_Address
V000001,Contractor Company 000001,REG0000001,Gujarat,Rajkot,BANK000017,"Rajkot, Gujarat"
V000002,Contractor Company 000002,REG0000002,Maharashtra,Nagpur,BANK000047,"Nagpur, Maharashtra"
V000003,Contractor Company 000003,REG0000003,Maharashtra,Nashik,BANK000027,"Nashik, Maharashtra"
V000004,Contractor Company 000004,REG0000004,Bihar,Patna,BANK000046,"Patna, Bihar"
V000005,Contractor Company 000005,REG0000005,Tamil Nadu,Salem,BANK000080,"Salem, Tamil Nadu"
V000006,Contractor Company 000006,REG0000006,Gujarat,Surat,BANK000021,"Surat, Gujarat"
V000007,Contractor Company 000007,REG0000007,Gujarat,Rajkot,BANK000004,"Rajkot, Gujarat"
V000008,Contractor Company 000008,REG0000008,Gujarat,Vadodara,BANK000053,"Vadodara, Gujarat"
V000009,Contractor Company 000009,REG0000009,Bihar,Aurangabad,BANK000021,"Aurangabad, Bihar"
V000010,Contractor Company 000010,REG0000010,Karnataka,Mysuru,BANK000005,"Mysuru, Karnataka"
V000011,Contractor Company 000011,REG0000011,Telangana,Warangal,BANK000026,"Warangal, Telangana"
V000012,Contractor Company 000012,REG0000012,Telangana,Nizamabad,BANK000040,"Nizamabad, Telangana"
V000013,Contractor Company 000013,REG0000013,Bihar,Gaya,BANK000004,"Gaya, Bihar"
V000014,Contractor Company 000014,REG0000014,Bihar,Bhagalpur,BANK000043,"Bhagalpur, Bihar"
V000015,Contractor Company 000015,REG0000015,Madhya Pradesh,Bhopal,BANK000099,"Bhopal, Madhya Pradesh"
V000016,Contractor Company 000016,REG0000016,Madhya Pradesh,Jabalpur,BANK000083,"Jabalpur, Madhya Pradesh"
V000017,Contractor Company 000017,REG0000017,Tamil Nadu,Salem,BANK000087,"Salem, Tamil Nadu"
V000018,Contractor Company 000018,REG0000018,Tamil Nadu,Coimbatore,BANK000004,"Coimbatore, Tamil Nadu"
V000019,Contractor Company 000019,REG0000019,Karnataka,Dharwad,BANK000023,"Dharwad, Karnataka"
V000020,Contractor Company 000020,REG0000020,West Bengal,Durgapur,BANK000005,"Durgapur, West Bengal"
V000021,Contractor Company 000021,REG0000021,Karnataka,Bengaluru,BANK000056,"Bengaluru, Karnataka"
V000022,Contractor Company 000022,REG0000022,Rajasthan,Kota,BANK000056,"Kota, Rajasthan"
V000023,Contractor Company 000023,REG0000023,West Bengal,Kolkata,BANK000050,"Kolkata, West Bengal"
V000024,Contractor Company 000024,REG0000024,West Bengal,Howrah,BANK000033,"Howrah, West Bengal"
V000025,Contractor Company 000025,REG0000025,Maharashtra,Kolhapur,BANK000001,"Kolhapur, Maharashtra"
V000026,Contractor Company 000026,REG0000026,Tamil Nadu,Tiruchirappalli,BANK000088,"Tiruchirappalli, Tamil Nadu"
V000027,Contractor Company 000027,REG0000027,Bihar,Aurangabad,BANK000056,"Aurangabad, Bihar"
V000028,Contractor Company 000028,REG0000028,Karnataka,Ballari,BANK000043,"Ballari, Karnataka"
V000029,Contractor Company 000029,REG0000029,West Bengal,Durgapur,BANK000085,"Durgapur, West Bengal"
V000030,Contractor Company 000030,REG0000030,Karnataka,Ballari,BANK000039,"Ballari, Karnataka"
V000031,Contractor Company 000031,REG0000031,Tamil Nadu,Coimbatore,BANK000086,"Coimbatore, Tamil Nadu"
V000032,Contractor Company 000032,REG0000032,Uttar Pradesh,Agra,BANK000052,"Agra, Uttar Pradesh"
V000033,Contractor Company 000033,REG0000033,Madhya Pradesh,Ujjain,BANK000017,"Ujjain, Madhya Pradesh"
V000034,Contractor Company 000034,REG0000034,Bihar,Bhagalpur,BANK000086,"Bhagalpur, Bihar"
V000035,Contractor Company 000035,REG0000035,Uttar Pradesh,Kanpur,BANK000079,"Kanpur, Uttar Pradesh"
V000036,Contractor Company 000036,REG0000036,West Bengal,Durgapur,BANK000052,"Durgapur, West Bengal"
V000037,Contractor Company 000037,REG0000037,Tamil Nadu,Chennai,BANK000039,"Chennai, Tamil Nadu"
V000038,Contractor Company 000038,REG0000038,Madhya Pradesh,Indore,BANK000056,"Indore, Madhya Pradesh"
V000039,Contractor Company 000039,REG0000039,West Bengal,Durgapur,BANK000060,"Durgapur, West Bengal"
V000040,Contractor Company 000040,REG0000040,Telangana,Karimnagar,BANK000087,"Karimnagar, Telangana"
