MP_ID,Total_Projects,Total_Allocated_INR,Avg_Project_VPI,Critical_Projects,High_Projects,Syndicate_Projects,Split_Projects,Allocation_Risk_Score,MP_Vigilance_Master_Score
MP0001,965,5053190000.0,27.640683937823834,0,8,14,0,70.55,43.57
MP0002,1054,5466750000.0,18.793956356736246,0,3,24,2,11.48,11.38
MP0003,1024,5468670000.0,27.637578125,0,16,23,2,69.25,42.92
MP0004,1039,5554040000.0,22.982175168431183,0,3,15,2,39.17,26.48
MP0005,1024,5405010000.0,27.87380859375,0,16,23,2,71.25,43.99
MP0006,1005,5327600000.0,22.78433830845771,0,3,8,0,39.78,26.73
MP0007,962,5335210000.0,26.135426195426195,0,9,14,2,58.42,37.05
MP0008,995,5194340000.0,24.956964824120604,0,5,19,2,53.02,34.0
MP0009,1029,5594180000.0,24.588862973760932,0,6,18,0,49.6,32.18
MP0010,1021,5413540000.0,21.762752203721842,0,2,17,0,29.25,21.15
MP0011,977,5205810000.0,24.37021494370522,0,5,23,0,46.9,30.76
MP0012,991,5022360000.0,30.387457114026237,0,15,20,0,89.2,53.72
MP0013,1058,5516500000.0,21.64977315689981,0,2,21,2,30.48,21.73
MP0014,958,4957370000.0,23.070668058455116,0,8,33,2,38.1,25.97
MP0015,1034,5274310000.0,19.60752417794971,0,3,24,0,16.88,14.32
MP0016,986,5176120000.0,20.400882352941178,0,0,23,2,21.02,16.63
MP0017,1031,5364540000.0,25.751037827352086,0,9,19,0,58.58,37.02
MP0018,1023,5442060000.0,24.827888563049854,0,8,16,2,50.18,32.54
MP0019,1026,5394320000.0,18.55561403508772,0,1,28,0,8.43,9.78
MP0020,948,4959680000.0,22.012289029535868,0,1,19,0,31.6,22.4
MP0021,1049,5607850000.0,21.22184938036225,0,0,23,2,26.38,19.56
MP0022,999,5194660000.0,26.61305305305305,0,6,13,0,64.62,40.29
MP0023,999,5244820000.0,25.355515515515517,0,3,19,0,53.7,34.46
MP0024,979,5286790000.0,18.783973442288048,0,1,12,0,11.8,11.54
MP0025,999,5408990000.0,25.443853853853852,0,5,18,0,54.78,35.02
MP0026,1049,5488930000.0,18.27628217349857,0,0,22,0,7.5,9.23
MP0027,991,5201840000.0,27.006548940464178,0,5,21,0,64.5,40.35
MP0028,1039,5389810000.0,24.02240615976901,0,4,30,0,45.08,29.75
MP0029,1005,5263130000.0,29.538089552238805,0,12,16,0,82.12,49.92
MP0030,1039,5447520000.0,23.007584215591915,0,3,19,0,39.33,26.57
MP0031,939,4857220000.0,23.251469648562303,0,4,16,2,41.6,27.78
MP0032,1027,5203350000.0,27.42713729308666,0,12,25,0,68.18,42.32
MP0033,960,5100300000.0,22.602770833333334,0,6,24,0,35.17,24.37
MP0034,943,4906790000.0,24.96370095440085,0,5,11,2,52.88,33.93
MP0035,968,5057030000.0,23.90103305785124,0,5,14,2,46.62,30.48
MP0036,1045,5520670000.0,24.802765550239233,0,8,16,2,51.18,33.03
MP0037,983,5071660000.0,21.516734486266532,0,2,18,0,30.42,21.67
MP0038,1034,5475850000.0,22.729148936170212,0,5,16,2,37.17,25.4
MP0039,974,5100350000.0,23.05986652977413,0,4,18,0,39.2,26.52
MP0040,967,5060270000.0,28.179617373319545,0,13,22,0,72.93,44.92
MP0041,982,5121720000.0,24.966354378818735,0,10,24,2,51.6,33.29
MP0042,979,5331460000.0,25.201368743615934,0,5,12,0,53.32,34.22
MP0043,967,5173040000.0,25.390093071354706,0,5,17,2,54.58,34.91
MP0044,1051,5541430000.0,21.31078972407231,0,6,22,2,26.92,19.85
MP0045,1036,5297680000.0,22.446988416988418,0,3,20,4,35.5,24.48
MP0046,952,4817770000.0,30.82231092436975,1,10,12,0,93.72,61.11
MP0047,985,5126230000.0,29.927421319796952,0,18,23,0,85.32,51.64
MP0048,1030,5404270000.0,18.52257281553398,0,1,20,0,11.15,11.13
MP0049,966,5133980000.0,28.25262939958592,0,8,24,0,73.35,45.15
MP0050,957,5032810000.0,27.299864158829678,0,10,20,0,68.4,42.39
MP0051,989,5229550000.0,28.021456016177957,0,7,14,2,73.18,45.0
MP0052,1041,5483410000.0,20.732939481268012,0,2,24,0,24.4,18.42
MP0053,964,5090160000.0,23.764564315352697,0,8,20,2,43.45,28.85
MP0054,1025,5357400000.0,24.620975609756098,0,8,25,0,49.82,32.3
MP0055,992,5246660000.0,23.36122983870968,0,3,26,0,40.4,27.21
MP0056,977,5115380000.0,23.352712384851586,0,3,12,2,41.58,27.8
MP0057,1004,5358610000.0,21.182081673306776,0,4,22,0,26.08,19.39
MP0058,1066,5721080000.0,21.37076923076923,0,1,24,2,27.65,20.24
MP0059,1024,5529450000.0,28.216171875,0,8,18,0,72.78,44.85
MP0060,995,5260440000.0,25.388060301507537,0,3,14,0,55.78,35.51
MP0061,997,5175040000.0,25.63492477432297,0,8,22,0,58.45,36.92
MP0062,997,5139170000.0,24.15517552657974,0,6,14,0,49.42,31.96
MP0063,1036,5491030000.0,19.966013513513513,0,4,25,4,16.62,14.3
MP0064,947,5029860000.0,22.68077085533263,0,5,24,0,36.3,24.95
MP0065,951,4947390000.0,31.527728706624604,0,13,18,4,94.85,56.88
MP0066,987,5254320000.0,22.31323201621074,0,3,21,0,35.1,24.24
MP0067,977,5322290000.0,26.159201637666328,0,7,12,4,58.08,36.89
MP0068,965,5049420000.0,29.00518134715026,0,10,19,0,79.25,48.33
MP0069,1019,5302490000.0,23.122433758586848,0,6,21,0,39.8,26.84
MP0070,929,4810590000.0,31.933100107642623,0,18,23,0,98.35,58.75
MP0071,1003,5280970000.0,28.558604187437687,0,12,22,6,74.47,45.8
MP0072,972,5036720000.0,21.773755144032922,0,2,24,0,30.2,21.63
MP0073,962,4940180000.0,22.70543659043659,0,3,14,2,38.17,25.9
MP0074,1001,5516220000.0,25.26342657342657,0,11,17,0,52.9,34.03
MP0075,974,5238250000.0,26.722987679671455,0,9,16,0,63.2,39.62
MP0076,964,5003980000.0,28.43408713692946,0,15,20,0,74.55,45.81
MP0077,982,5168100000.0,26.334684317718942,0,5,16,2,61.28,38.54
MP0078,983,5104270000.0,30.539898270600204,0,14,24,0,89.12,53.72
MP0079,993,5378200000.0,27.569597180261834,0,11,20,0,67.32,41.93
MP0080,1024,5430250000.0,24.025185546875,0,5,22,0,44.12,29.27
MP0081,1030,5258660000.0,25.85709708737864,0,3,19,0,59.02,37.27
MP0082,1008,5404250000.0,23.89674603174603,0,4,22,0,43.42,28.88
MP0083,978,5078980000.0,29.538670756646216,0,11,20,0,82.3,50.01
MP0084,1023,5377150000.0,24.92969696969697,0,6,19,0,52.1,33.53
MP0085,1003,5290350000.0,30.216570289132605,0,16,26,0,85.52,51.82
MP0086,1032,5486080000.0,22.80360465116279,0,4,25,0,36.2,24.94
MP0087,1093,5805610000.0,19.52911253430924,0,3,24,4,13.75,12.73
MP0088,1006,5245640000.0,27.822117296222665,0,15,22,0,70.6,43.65
MP0089,999,5197100000.0,24.588708708708708,0,6,23,6,49.6,32.18
MP0090,1010,5310960000.0,26.254326732673267,0,7,21,0,60.25,38.0
MP0091,967,5115410000.0,27.58683557394002,0,15,18,0,69.55,43.05
MP0092,1009,5142210000.0,24.307215064420216,0,9,23,2,48.68,31.63
MP0093,1039,5341760000.0,26.940211742059674,0,4,14,0,68.05,42.11
MP0094,1035,5398240000.0,20.78184541062802,0,1,17,0,25.52,18.99
MP0095,994,5140320000.0,27.035281690140845,0,11,27,0,65.53,40.88
MP0096,1004,5286700000.0,25.385796812749003,0,8,23,2,54.12,34.68
MP0097,996,5317020000.0,27.527068273092368,0,12,20,2,68.18,42.35
MP0098,1005,5267480000.0,27.118925373134328,0,6,16,0,66.6,41.44
MP0099,945,5050590000.0,22.409555555555553,0,2,20,2,33.62,23.53
MP0100,1041,5404640000.0,19.74550432276657,0,1,15,0,18.55,15.2
