Project_ID,MP_ID,Contractor_ID,Sanctioned_Amount,Project_Category,Constituency,State,Syndicate_ID,Syndicate_Role,Is_Syndicate_Ringleader,Is_Split_Work,Score_ML_Anomaly,Score_Syndicate_Collusion,Score_MP_Concentration,Score_Work_Splitting,Score_Network_Centrality,Vigilance_Priority_Index,Priority_Tier,Forensic_Explanation
P00055130,MP0061,V044673,7800000.0,Sports,AGRA-1,Uttar Pradesh,NONE,INDEPENDENT,False,False,43.3,0.0,58.45,0.0,31.46,26.48,MEDIUM,Parameters within standard vigilance tolerances across all forensic layers
P00032659,MP0084,V022209,7410000.0,Education,BELAGAVI-4,Karnataka,NONE,INDEPENDENT,False,False,52.11,0.0,52.1,0.0,43.91,30.03,MEDIUM,[ML_ANOMALY] Physical/financial anomaly score 52.1/100
P00046162,MP0094,V037320,560000.0,Healthcare,UJJAIN-4,Madhya Pradesh,NONE,INDEPENDENT,False,False,32.14,0.0,25.52,0.0,40.82,19.59,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00006445,MP0020,V023353,2240000.0,Community Development,BHAVNAGAR-2,Gujarat,NONE,INDEPENDENT,False,False,21.62,0.0,31.6,0.0,40.36,17.28,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00096742,MP0100,V046423,8930000.0,Sports,NASHIK-5,Maharashtra,NONE,INDEPENDENT,False,False,47.26,0.0,18.55,0.0,44.2,23.59,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00021835,MP0016,V024997,9040000.0,Education,KALABURAGI-2,Karnataka,NONE,INDEPENDENT,False,False,57.14,0.0,21.02,0.0,8.68,21.6,LOW,[ML_ANOMALY] Physical/financial anomaly score 57.1/100
P00058642,MP0044,V002054,3090000.0,Public Infrastructure,BELAGAVI-4,Karnataka,NONE,INDEPENDENT,False,False,35.77,0.0,26.92,0.0,2.91,15.21,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00020935,MP0002,V046439,680000.0,Public Infrastructure,GAYA-1,Bihar,NONE,INDEPENDENT,False,False,30.02,0.0,11.48,0.0,42.39,17.09,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00024013,MP0083,V034272,9980000.0,Electricity,VADODARA-4,Gujarat,NONE,INDEPENDENT,False,False,55.68,0.0,82.3,0.0,16.94,31.59,MEDIUM,[ML_ANOMALY] Physical/financial anomaly score 55.7/100; [MP_FAVORITISM] Awarded by high-concentration MP MP0083 (Allocation Risk: 82.3)
P00014315,MP0027,V046779,2820000.0,Electricity,MUZAFFARPUR-5,Bihar,NONE,INDEPENDENT,False,False,33.36,0.0,64.5,0.0,18.55,22.47,LOW,Parameters within standard vigilance tolerances across all forensic layers
