Contractor_ID,Project_Count,Total_Sanctioned_INR,Avg_VPI,Max_VPI,Critical_Projects,High_Projects,Syndicate_ID,Syndicate_Role,Is_Ringleader,Vendor_Governance_Score
V000001,1,8110000.0,47.34,47.34,0,0,SYNDICATE_017,ACTIVE_PARTICIPANT,False,37.87
V000002,2,16230000.0,39.614999999999995,41.4,0,0,SYNDICATE_047,ACTIVE_PARTICIPANT,False,32.41
V000003,1,6950000.0,45.09,45.09,0,0,SYNDICATE_027,ACTIVE_PARTICIPANT,False,36.07
V000004,4,23310000.0,51.042500000000004,55.32,0,2,SYNDICATE_046,ACTIVE_PARTICIPANT,False,42.54
V000005,1,4600000.0,43.99,43.99,0,0,SYNDICATE_080,ACTIVE_PARTICIPANT,False,35.19
V000006,4,25790000.0,56.04,61.55,0,3,SYNDICATE_021,PRIMARY_RINGLEADER,True,67.04
V000007,1,9000000.0,44.6,44.6,0,0,SYNDICATE_004,ACTIVE_PARTICIPANT,False,35.68
V000008,3,14560000.0,51.71,55.72,0,2,SYNDICATE_053,ACTIVE_PARTICIPANT,False,42.97
V000009,1,4080000.0,38.36,38.36,0,0,SYNDICATE_021,ACTIVE_PARTICIPANT,False,30.69
V000010,2,15700000.0,49.72,50.87,0,1,SYNDICATE_005,ACTIVE_PARTICIPANT,False,40.24
V000011,4,19850000.0,44.0,48.97,0,0,SYNDICATE_026,ACTIVE_PARTICIPANT,False,37.19
V000012,1,8150000.0,46.59,46.59,0,0,SYNDICATE_040,ACTIVE_PARTICIPANT,False,37.27
V000014,2,4260000.0,46.165,46.9,0,0,SYNDICATE_043,ACTIVE_PARTICIPANT,False,37.23
V000015,1,7560000.0,43.25,43.25,0,0,SYNDICATE_099,ACTIVE_PARTICIPANT,False,34.6
V000016,2,17660000.0,52.185,52.27,0,2,SYNDICATE_083,ACTIVE_PARTICIPANT,False,41.78
V000017,2,11300000.0,42.17,48.35,0,0,SYNDICATE_087,ACTIVE_PARTICIPANT,False,36.21
V000018,1,1200000.0,36.06,36.06,0,0,SYNDICATE_004,ACTIVE_PARTICIPANT,False,28.85
V000020,1,7410000.0,42.14,42.14,0,0,SYNDICATE_005,ACTIVE_PARTICIPANT,False,33.71
V000021,3,21070000.0,52.98666666666666,56.73,0,2,SYNDICATE_056,ACTIVE_PARTICIPANT,False,43.89
