MP_ID,MP_Name,State,Constituency,Total_Projects,Unique_Vendors,Total_Project_Funds,Top_Vendor_ID,Top_Vendor_Name,Top_Vendor_Project_Count,Top_Vendor_Funds,Top_Vendor_Project_Share,Top_Vendor_Fund_Share,Vendor_HHI_Raw,Vendor_HHI_Normalized,Vendor_CR1,Vendor_CR3,Top_Syndicate_ID,Top_Syndicate_Vendor_Count,Top_Syndicate_Funds,Top_Syndicate_Share,Syndicate_HHI_Raw,Syndicate_CR1,Syndicate_CR3,Vendor_HHI_Raw_Percentile,Vendor_CR1_Percentile,Vendor_CR3_Percentile,Syndicate_HHI_Raw_Percentile,Syndicate_CR1_Percentile,Syndicate_CR3_Percentile,High_Vendor_HHI_Flag,High_Vendor_CR1_Flag,High_Vendor_CR3_Flag,High_Syndicate_HHI_Flag,High_Syndicate_CR1_Flag,High_Syndicate_CR3_Flag,Allocation_Risk_Score,Evidence_Reasons
MP0070,MP Representative 0070,Telangana,NIZAMABAD-4,929,916,4810590000,V038692,Contractor Company 038692,2,18390000,0.0022,0.0038,0.001421,0.00033,0.0038,0.0109,SYNDICATE_027,1,9160000,0.0019,0.001423,0.0038,0.0109,100.0,98.0,100.0,100.0,95.0,98.5,True,True,True,True,True,True,98.35,"['Top vendor V038692 captured 0.38% of funds (Percentile: 98.0%).', 'Vendor-level allocation HHI (0.001421) is elevated above 90th percentile baseline.', 'Shell syndicate SYNDICATE_027 received INR 9,160,000 (0.19%) across 1 member contractors.', 'Syndicate-adjusted CR1 (0.38%) indicates heightened network concentration.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0065,MP Representative 0065,Tamil Nadu,CHENNAI-1,951,937,4947390000,V031877,Contractor Company 031877,2,17960000,0.0021,0.0036,0.001369,0.000302,0.0036,0.0098,SYNDICATE_041,2,20550000,0.0042,0.001381,0.0042,0.0109,97.0,90.0,92.0,98.0,97.5,98.5,True,True,True,True,True,True,94.85,"['Top vendor V031877 captured 0.36% of funds (Percentile: 90.0%).', 'Vendor-level allocation HHI (0.001369) is elevated above 90th percentile baseline.', 'Shell syndicate SYNDICATE_041 received INR 20,550,000 (0.42%) across 2 member contractors.', 'Syndicate-adjusted CR1 (0.42%) indicates heightened network concentration.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0046,MP Representative 0046,Telangana,WARANGAL-3,952,939,4817770000,V016540,Contractor Company 016540,3,20180000,0.0032,0.0042,0.001396,0.000332,0.0042,0.0094,SYNDICATE_091,2,11610000,0.0024,0.001399,0.0042,0.0094,99.0,100.0,80.5,99.0,97.5,74.5,True,True,False,True,True,False,93.72,"['Top vendor V016540 captured 0.42% of funds (Percentile: 100.0%).', 'Vendor-level allocation HHI (0.001396) is elevated above 90th percentile baseline.', 'Shell syndicate SYNDICATE_091 received INR 11,610,000 (0.24%) across 2 member contractors.', 'Syndicate-adjusted CR1 (0.42%) indicates heightened network concentration.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0012,MP Representative 0012,Maharashtra,SATARA-5,991,982,5022360000,V032246,Contractor Company 032246,2,17900000,0.002,0.0036,0.00132,0.000302,0.0036,0.0098,SYNDICATE_040,3,25550000,0.0051,0.001342,0.0051,0.0122,72.5,90.0,92.0,86.0,99.0,100.0,False,True,True,False,True,True,89.2,"['Top vendor V032246 captured 0.36% of funds (Percentile: 90.0%).', 'Shell syndicate SYNDICATE_040 received INR 25,550,000 (0.51%) across 3 member contractors.', 'Syndicate-adjusted CR1 (0.51%) indicates heightened network concentration.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0078,MP Representative 0078,Karnataka,BENGALURU-2,983,972,5104270000,V040266,Contractor Company 040266,3,19130000,0.0031,0.0037,0.001328,0.0003,0.0037,0.0102,SYNDICATE_056,1,9660000,0.0019,0.001329,0.0037,0.0102,77.5,96.0,95.5,76.0,92.5,92.0,False,True,True,False,True,True,89.12,"['Top vendor V040266 captured 0.37% of funds (Percentile: 96.0%).', 'Shell syndicate SYNDICATE_056 received INR 9,660,000 (0.19%) across 1 member contractors.', 'Syndicate-adjusted CR1 (0.37%) indicates heightened network concentration.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0085,MP Representative 0085,West Bengal,KOLKATA-1,1003,989,5290350000,V038657,Contractor Company 038657,2,19380000,0.002,0.0037,0.001311,0.0003,0.0037,0.0103,SYNDICATE_081,3,11590000,0.0022,0.001313,0.0037,0.0103,63.5,96.0,97.5,62.5,92.5,94.5,False,True,True,False,True,True,85.52,"['Top vendor V038657 captured 0.37% of funds (Percentile: 96.0%).', 'Shell syndicate SYNDICATE_081 received INR 11,590,000 (0.22%) across 3 member contractors.', 'Syndicate-adjusted CR1 (0.37%) indicates heightened network concentration.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0047,MP Representative 0047,West Bengal,SILIGURI-2,985,975,5126230000,V024972,Contractor Company 024972,2,18720000,0.002,0.0037,0.001318,0.000293,0.0037,0.0095,SYNDICATE_040,2,14600000,0.0028,0.001329,0.0037,0.0096,70.0,96.0,85.5,76.0,92.5,84.0,False,True,False,False,True,False,85.32,"['Top vendor V024972 captured 0.37% of funds (Percentile: 96.0%).', 'Shell syndicate SYNDICATE_040 received INR 14,600,000 (0.28%) across 2 member contractors.', 'Syndicate-adjusted CR1 (0.37%) indicates heightened network concentration.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0083,MP Representative 0083,Gujarat,VADODARA-4,978,968,5078980000,V026918,Contractor Company 026918,2,17670000,0.002,0.0035,0.001335,0.000303,0.0035,0.0095,SYNDICATE_005,1,9240000,0.0018,0.001336,0.0035,0.0095,84.5,82.5,85.5,81.0,79.5,79.5,False,False,False,False,False,False,82.3,"['Shell syndicate SYNDICATE_005 received INR 9,240,000 (0.18%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0029,MP Representative 0029,Rajasthan,JODHPUR-2,1005,990,5263130000,V001073,Contractor Company 001073,2,19130000,0.002,0.0036,0.001311,0.000302,0.0036,0.0102,SYNDICATE_056,2,10060000,0.0019,0.001312,0.0036,0.0102,63.5,90.0,95.5,61.0,86.5,92.0,False,True,True,False,False,True,82.12,"['Top vendor V001073 captured 0.36% of funds (Percentile: 90.0%).', 'Shell syndicate SYNDICATE_056 received INR 10,060,000 (0.19%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0068,MP Representative 0068,Bihar,BHAGALPUR-1,965,955,5049420000,V033913,Contractor Company 033913,2,18080000,0.0021,0.0036,0.001324,0.000277,0.0036,0.0091,SYNDICATE_031,1,7730000,0.0015,0.001324,0.0036,0.0091,75.0,90.0,72.0,72.0,86.5,64.5,False,True,False,False,False,False,79.25,"['Top vendor V033913 captured 0.36% of funds (Percentile: 90.0%).', 'Shell syndicate SYNDICATE_031 received INR 7,730,000 (0.15%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
