Syndicate_ID,Bank_Account_ID,Syndicate_Size,Active_Vendor_Count,Total_Projects,Total_Syndicate_Funds_INR,State_Count,District_Count,MP_Count,Constituency_Count,Syndicate_Collusion_Risk,Evidence_Reasons
SYNDICATE_065,BANK000065,17,17,35,205740000,9,17,30,29,100.0,"['Shares bank account BANK000065 with 16 other registered contractors.', 'Belongs to a 17-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 205,740,000 in sanctioned project value across 35 projects.', '17 of 17 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 17 districts across 9 states involving 30 MPs.']"
SYNDICATE_059,BANK000059,16,15,37,216440000,7,14,34,31,98.75,"['Shares bank account BANK000059 with 15 other registered contractors.', 'Belongs to a 16-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 216,440,000 in sanctioned project value across 37 projects.', '15 of 16 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 14 districts across 7 states involving 34 MPs.']"
SYNDICATE_060,BANK000060,17,16,35,191640000,8,13,30,30,97.78,"['Shares bank account BANK000060 with 16 other registered contractors.', 'Belongs to a 17-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 191,640,000 in sanctioned project value across 35 projects.', '16 of 17 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 13 districts across 8 states involving 30 MPs.']"
SYNDICATE_011,BANK000011,15,14,34,198760000,9,13,28,26,96.95,"['Shares bank account BANK000011 with 14 other registered contractors.', 'Belongs to a 15-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 198,760,000 in sanctioned project value across 34 projects.', '14 of 15 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 13 districts across 9 states involving 28 MPs.']"
SYNDICATE_056,BANK000056,14,13,38,192810000,8,12,30,29,94.55,"['Shares bank account BANK000056 with 13 other registered contractors.', 'Belongs to a 14-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 192,810,000 in sanctioned project value across 38 projects.', '13 of 14 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 12 districts across 8 states involving 30 MPs.']"
SYNDICATE_053,BANK000053,15,12,35,218660000,6,13,30,29,94.44,"['Shares bank account BANK000053 with 14 other registered contractors.', 'Belongs to a 15-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 218,660,000 in sanctioned project value across 35 projects.', '12 of 15 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 13 districts across 6 states involving 30 MPs.']"
SYNDICATE_005,BANK000005,12,12,31,183270000,8,10,26,26,91.66,"['Shares bank account BANK000005 with 11 other registered contractors.', 'Belongs to a 12-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 183,270,000 in sanctioned project value across 31 projects.', '12 of 12 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 10 districts across 8 states involving 26 MPs.']"
SYNDICATE_057,BANK000057,15,15,29,136490000,6,12,25,22,90.5,"['Shares bank account BANK000057 with 14 other registered contractors.', 'Belongs to a 15-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 136,490,000 in sanctioned project value across 29 projects.', '15 of 15 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 12 districts across 6 states involving 25 MPs.']"
SYNDICATE_041,BANK000041,13,13,26,160270000,7,10,21,21,90.34,"['Shares bank account BANK000041 with 12 other registered contractors.', 'Belongs to a 13-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 160,270,000 in sanctioned project value across 26 projects.', '13 of 13 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 10 districts across 7 states involving 21 MPs.']"
SYNDICATE_043,BANK000043,15,13,30,154060000,7,15,29,27,90.03,"['Shares bank account BANK000043 with 14 other registered contractors.', 'Belongs to a 15-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 154,060,000 in sanctioned project value across 30 projects.', '13 of 15 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 15 districts across 7 states involving 29 MPs.']"
SYNDICATE_018,BANK000018,13,12,28,168430000,7,12,26,26,89.82,"['Shares bank account BANK000018 with 12 other registered contractors.', 'Belongs to a 13-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 168,430,000 in sanctioned project value across 28 projects.', '12 of 13 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 12 districts across 7 states involving 26 MPs.']"
SYNDICATE_072,BANK000072,12,12,32,166740000,8,11,28,27,89.59,"['Shares bank account BANK000072 with 11 other registered contractors.', 'Belongs to a 12-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 166,740,000 in sanctioned project value across 32 projects.', '12 of 12 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 11 districts across 8 states involving 28 MPs.']"
SYNDICATE_085,BANK000085,16,14,28,134570000,8,15,24,22,89.32,"['Shares bank account BANK000085 with 15 other registered contractors.', 'Belongs to a 16-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 134,570,000 in sanctioned project value across 28 projects.', '14 of 16 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 15 districts across 8 states involving 24 MPs.']"
SYNDICATE_091,BANK000091,12,12,28,163240000,7,10,24,24,89.16,"['Shares bank account BANK000091 with 11 other registered contractors.', 'Belongs to a 12-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 163,240,000 in sanctioned project value across 28 projects.', '12 of 12 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 10 districts across 7 states involving 24 MPs.']"
SYNDICATE_058,BANK000058,15,11,30,167760000,7,14,26,24,89.08,"['Shares bank account BANK000058 with 14 other registered contractors.', 'Belongs to a 15-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 167,760,000 in sanctioned project value across 30 projects.', '11 of 15 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 14 districts across 7 states involving 26 MPs.']"
SYNDICATE_046,BANK000046,12,10,34,184090000,9,12,29,28,88.43,"['Shares bank account BANK000046 with 11 other registered contractors.', 'Belongs to a 12-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 184,090,000 in sanctioned project value across 34 projects.', '10 of 12 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 12 districts across 9 states involving 29 MPs.']"
SYNDICATE_054,BANK000054,11,11,28,160040000,8,9,25,23,87.19,"['Shares bank account BANK000054 with 10 other registered contractors.', 'Belongs to a 11-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 160,040,000 in sanctioned project value across 28 projects.', '11 of 11 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 9 districts across 8 states involving 25 MPs.']"
SYNDICATE_044,BANK000044,11,11,29,149420000,6,10,25,22,85.87,"['Shares bank account BANK000044 with 10 other registered contractors.', 'Belongs to a 11-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 149,420,000 in sanctioned project value across 29 projects.', '11 of 11 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 10 districts across 6 states involving 25 MPs.']"
SYNDICATE_096,BANK000096,11,10,27,163330000,6,10,25,25,85.79,"['Shares bank account BANK000096 with 10 other registered contractors.', 'Belongs to a 11-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 163,330,000 in sanctioned project value across 27 projects.', '10 of 11 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 10 districts across 6 states involving 25 MPs.']"
