Vendor_ID,Vendor_Name,Bank_Account_ID,Syndicate_ID,Syndicate_Size,Active_Project_Count,Vendor_Total_Sanctioned_Amount,Syndicate_Total_Funds_INR,Collusion_Risk_Score,Evidence_Reasons
V000325,Contractor Company 000325,BANK000065,SYNDICATE_065,17,3,19340000,205740000,100.0,"['Shares bank account BANK000065 with 16 other registered contractors.', 'Belongs to SYNDICATE_065 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 205,740,000 in sanctioned public funds.', 'Entity directly holds 3 project(s) totaling INR 19,340,000.']"
V000423,Contractor Company 000423,BANK000065,SYNDICATE_065,17,3,18820000,205740000,100.0,"['Shares bank account BANK000065 with 16 other registered contractors.', 'Belongs to SYNDICATE_065 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 205,740,000 in sanctioned public funds.', 'Entity directly holds 3 project(s) totaling INR 18,820,000.']"
V000354,Contractor Company 000354,BANK000065,SYNDICATE_065,17,3,17540000,205740000,100.0,"['Shares bank account BANK000065 with 16 other registered contractors.', 'Belongs to SYNDICATE_065 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 205,740,000 in sanctioned public funds.', 'Entity directly holds 3 project(s) totaling INR 17,540,000.']"
V000277,Contractor Company 000277,BANK000065,SYNDICATE_065,17,3,16850000,205740000,100.0,"['Shares bank account BANK000065 with 16 other registered contractors.', 'Belongs to SYNDICATE_065 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 205,740,000 in sanctioned public funds.', 'Entity directly holds 3 project(s) totaling INR 16,850,000.']"
V000461,Contractor Company 000461,BANK000065,SYNDICATE_065,17,2,16170000,205740000,100.0,"['Shares bank account BANK000065 with 16 other registered contractors.', 'Belongs to SYNDICATE_065 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 205,740,000 in sanctioned public funds.', 'Entity directly holds 2 project(s) totaling INR 16,170,000.']"
V000110,Contractor Company 000110,BANK000065,SYNDICATE_065,17,3,16110000,205740000,100.0,"['Shares bank account BANK000065 with 16 other registered contractors.', 'Belongs to SYNDICATE_065 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 205,740,000 in sanctioned public funds.', 'Entity directly holds 3 project(s) totaling INR 16,110,000.']"
V000565,Contractor Company 000565,BANK000065,SYNDICATE_065,17,4,15340000,205740000,100.0,"['Shares bank account BANK000065 with 16 other registered contractors.', 'Belongs to SYNDICATE_065 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 205,740,000 in sanctioned public funds.', 'Entity directly holds 4 project(s) totaling INR 15,340,000.']"
V000472,Contractor Company 000472,BANK000065,SYNDICATE_065,17,2,14980000,205740000,100.0,"['Shares bank account BANK000065 with 16 other registered contractors.', 'Belongs to SYNDICATE_065 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 205,740,000 in sanctioned public funds.', 'Entity directly holds 2 project(s) totaling INR 14,980,000.']"
V000746,Contractor Company 000746,BANK000065,SYNDICATE_065,17,3,14500000,205740000,100.0,"['Shares bank account BANK000065 with 16 other registered contractors.', 'Belongs to SYNDICATE_065 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 205,740,000 in sanctioned public funds.', 'Entity directly holds 3 project(s) totaling INR 14,500,000.']"
V000573,Contractor Company 000573,BANK000065,SYNDICATE_065,17,1,9850000,205740000,100.0,"['Shares bank account BANK000065 with 16 other registered contractors.', 'Belongs to SYNDICATE_065 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 205,740,000 in sanctioned public funds.', 'Entity directly holds 1 project(s) totaling INR 9,850,000.']"
