Vendor_ID,Vendor_Name,Registration_ID,Bank_Account_ID,Syndicate_ID,Syndicate_Size,Projects_Awarded,Total_Sanctioned_Value,State,District,Shared_Bank_Account_Flag,Requires_Audit,Evidence_Reasons
V000958,Contractor Company 000958,REG0000958,BANK000005,SYN_BANK000005,12,5,40350000,Bihar,Aurangabad,True,True,"Entity shares Bank Account BANK000005 with 11 other contractors (Syndicate ID: SYN_BANK000005, Members: 12). Syndicate holds 31 projects totaling INR 183,270,000. Audit verification recommended."
V000340,Contractor Company 000340,REG0000340,BANK000053,SYN_BANK000053,15,6,40270000,Telangana,Warangal,True,True,"Entity shares Bank Account BANK000053 with 14 other contractors (Syndicate ID: SYN_BANK000053, Members: 15). Syndicate holds 35 projects totaling INR 218,660,000. Audit verification recommended."
V000331,Contractor Company 000331,REG0000331,BANK000011,SYN_BANK000011,15,7,40190000,Telangana,Hyderabad,True,True,"Entity shares Bank Account BANK000011 with 14 other contractors (Syndicate ID: SYN_BANK000011, Members: 15). Syndicate holds 34 projects totaling INR 198,760,000. Audit verification recommended."
V000180,Contractor Company 000180,REG0000180,BANK000035,SYN_BANK000035,13,6,38650000,Madhya Pradesh,Gwalior,True,True,"Entity shares Bank Account BANK000035 with 12 other contractors (Syndicate ID: SYN_BANK000035, Members: 13). Syndicate holds 27 projects totaling INR 142,230,000. Audit verification recommended."
V000215,Contractor Company 000215,REG0000215,BANK000059,SYN_BANK000059,16,5,37290000,Telangana,Warangal,True,True,"Entity shares Bank Account BANK000059 with 15 other contractors (Syndicate ID: SYN_BANK000059, Members: 16). Syndicate holds 37 projects totaling INR 216,440,000. Audit verification recommended."
V000673,Contractor Company 000673,REG0000673,BANK000095,SYN_BANK000095,11,5,37160000,Bihar,Muzaffarpur,True,True,"Entity shares Bank Account BANK000095 with 10 other contractors (Syndicate ID: SYN_BANK000095, Members: 11). Syndicate holds 23 projects totaling INR 137,970,000. Audit verification recommended."
V000894,Contractor Company 000894,REG0000894,BANK000073,SYN_BANK000073,10,6,36650000,West Bengal,Kolkata,True,True,"Entity shares Bank Account BANK000073 with 9 other contractors (Syndicate ID: SYN_BANK000073, Members: 10). Syndicate holds 21 projects totaling INR 109,760,000. Audit verification recommended."
V000949,Contractor Company 000949,REG0000949,BANK000005,SYN_BANK000005,12,6,36640000,Bihar,Aurangabad,True,True,"Entity shares Bank Account BANK000005 with 11 other contractors (Syndicate ID: SYN_BANK000005, Members: 12). Syndicate holds 31 projects totaling INR 183,270,000. Audit verification recommended."
V000044,Contractor Company 000044,REG0000044,BANK000097,SYN_BANK000097,10,4,36520000,Karnataka,Kalaburagi,True,True,"Entity shares Bank Account BANK000097 with 9 other contractors (Syndicate ID: SYN_BANK000097, Members: 10). Syndicate holds 17 projects totaling INR 107,860,000. Audit verification recommended."
V000830,Contractor Company 000830,REG0000830,BANK000073,SYN_BANK000073,10,6,35920000,Madhya Pradesh,Indore,True,True,"Entity shares Bank Account BANK000073 with 9 other contractors (Syndicate ID: SYN_BANK000073, Members: 10). Syndicate holds 21 projects totaling INR 109,760,000. Audit verification recommended."
V000490,Contractor Company 000490,REG0000490,BANK000046,SYN_BANK000046,12,6,35710000,Maharashtra,Latur,True,True,"Entity shares Bank Account BANK000046 with 11 other contractors (Syndicate ID: SYN_BANK000046, Members: 12). Syndicate holds 34 projects totaling INR 184,090,000. Audit verification recommended."
V000621,Contractor Company 000621,REG0000621,BANK000020,SYN_BANK000020,10,5,35350000,Tamil Nadu,Salem,True,True,"Entity shares Bank Account BANK000020 with 9 other contractors (Syndicate ID: SYN_BANK000020, Members: 10). Syndicate holds 23 projects totaling INR 109,740,000. Audit verification recommended."
V000696,Contractor Company 000696,REG0000696,BANK000040,SYN_BANK000040,11,5,34970000,Karnataka,Mysuru,True,True,"Entity shares Bank Account BANK000040 with 10 other contractors (Syndicate ID: SYN_BANK000040, Members: 11). Syndicate holds 24 projects totaling INR 153,720,000. Audit verification recommended."
V000779,Contractor Company 000779,REG0000779,BANK000040,SYN_BANK000040,11,5,34790000,Tamil Nadu,Coimbatore,True,True,"Entity shares Bank Account BANK000040 with 10 other contractors (Syndicate ID: SYN_BANK000040, Members: 11). Syndicate holds 24 projects totaling INR 153,720,000. Audit verification recommended."
V000787,Contractor Company 000787,REG0000787,BANK000020,SYN_BANK000020,10,7,34090000,Uttar Pradesh,Agra,True,True,"Entity shares Bank Account BANK000020 with 9 other contractors (Syndicate ID: SYN_BANK000020, Members: 10). Syndicate holds 23 projects totaling INR 109,740,000. Audit verification recommended."
V000164,Contractor Company 000164,REG0000164,BANK000027,SYN_BANK000027,11,6,33910000,Karnataka,Kalaburagi,True,True,"Entity shares Bank Account BANK000027 with 10 other contractors (Syndicate ID: SYN_BANK000027, Members: 11). Syndicate holds 23 projects totaling INR 117,280,000. Audit verification recommended."
V000069,Contractor Company 000069,REG0000069,BANK000091,SYN_BANK000091,12,4,33280000,Uttar Pradesh,Kanpur,True,True,"Entity shares Bank Account BANK000091 with 11 other contractors (Syndicate ID: SYN_BANK000091, Members: 12). Syndicate holds 28 projects totaling INR 163,240,000. Audit verification recommended."
