Cluster_ID,Effective_Entity_ID,Entity_Type,MP_ID,Project_Category,Project_Count,Total_Split_Amount_INR,Average_Amount_INR,Min_Date,Max_Date,Span_Days,Unique_Vendors_Count,Vendors_Involved,Project_IDs,Is_Syndicate_Split,Threshold_Evasion_Flag,Work_Splitting_Risk_Score,Evidence_Reasons
SPLIT_00001,SYNDICATE_005,SYNDICATE,MP0053,Road,2,9530000.0,4765000.0,2025-05-25,2025-06-09,15,2,"['V000949', 'V000531']","['P00069437', 'P00020002']",True,True,82.5,"[""Work split across 2 contracts in category 'Road'"", 'Sanctioned within short 15-day window (<= 30 days)', 'Statutory tender threshold circumvention: Total INR 9,530,000 exceeds threshold INR 5,000,000 while individual contracts remain below', 'Syndicate collusion: Split across 2 sister shell contractors under same bank account']"
SPLIT_00002,SYNDICATE_048,SYNDICATE,MP0089,Sports,2,5400000.0,2700000.0,2025-05-08,2025-07-05,58,2,"['V000535', 'V000513']","['P00026959', 'P00051675']",True,True,77.5,"[""Work split across 2 contracts in category 'Sports'"", 'Sanctioned within 58-day window', 'Statutory tender threshold circumvention: Total INR 5,400,000 exceeds threshold INR 5,000,000 while individual contracts remain below', 'Syndicate collusion: Split across 2 sister shell contractors under same bank account']"
SPLIT_00003,SYNDICATE_056,SYNDICATE,MP0065,Healthcare,2,9900000.0,4950000.0,2025-07-19,2025-08-06,18,2,"['V000247', 'V000339']","['P00068547', 'P00083461']",True,True,82.5,"[""Work split across 2 contracts in category 'Healthcare'"", 'Sanctioned within short 18-day window (<= 30 days)', 'Statutory tender threshold circumvention: Total INR 9,900,000 exceeds threshold INR 5,000,000 while individual contracts remain below', 'Syndicate collusion: Split across 2 sister shell contractors under same bank account']"
SPLIT_00004,SYNDICATE_069,SYNDICATE,MP0099,Electricity,2,8100000.0,4050000.0,2025-02-20,2025-04-04,43,2,"['V000284', 'V000645']","['P00014191', 'P00068677']",True,True,77.5,"[""Work split across 2 contracts in category 'Electricity'"", 'Sanctioned within 43-day window', 'Statutory tender threshold circumvention: Total INR 8,100,000 exceeds threshold INR 5,000,000 while individual contracts remain below', 'Syndicate collusion: Split across 2 sister shell contractors under same bank account']"
SPLIT_00005,SYNDICATE_082,SYNDICATE,MP0005,Sports,2,13810000.0,6905000.0,2025-02-16,2025-03-04,16,2,"['V000838', 'V000891']","['P00044621', 'P00017166']",True,False,67.5,"[""Work split across 2 contracts in category 'Sports'"", 'Sanctioned within short 16-day window (<= 30 days)', 'High cumulative value INR 13,810,000', 'Syndicate collusion: Split across 2 sister shell contractors under same bank account']"
SPLIT_00006,SYNDICATE_087,SYNDICATE,MP0071,Agriculture,2,5190000.0,2595000.0,2025-06-05,2025-07-16,41,2,"['V000434', 'V000969']","['P00018077', 'P00026510']",True,True,77.5,"[""Work split across 2 contracts in category 'Agriculture'"", 'Sanctioned within 41-day window', 'Statutory tender threshold circumvention: Total INR 5,190,000 exceeds threshold INR 5,000,000 while individual contracts remain below', 'Syndicate collusion: Split across 2 sister shell contractors under same bank account']"
SPLIT_00007,SYNDICATE_091,SYNDICATE,MP0002,Water Supply,2,9650000.0,4825000.0,2025-05-16,2025-06-22,37,2,"['V000213', 'V000568']","['P00007113', 'P00099898']",True,True,77.5,"[""Work split across 2 contracts in category 'Water Supply'"", 'Sanctioned within 37-day window', 'Statutory tender threshold circumvention: Total INR 9,650,000 exceeds threshold INR 5,000,000 while individual contracts remain below', 'Syndicate collusion: Split across 2 sister shell contractors under same bank account']"
SPLIT_00008,V003773,VENDOR,MP0045,Public Infrastructure,2,5230000.0,2615000.0,2025-01-04,2025-02-09,36,1,['V003773'],"['P00092370', 'P00074771']",False,True,57.5,"[""Work split across 2 contracts in category 'Public Infrastructure'"", 'Sanctioned within 36-day window', 'Statutory tender threshold circumvention: Total INR 5,230,000 exceeds threshold INR 5,000,000 while individual contracts remain below']"
SPLIT_00009,V004112,VENDOR,MP0044,Water Supply,2,10830000.0,5415000.0,2025-01-24,2025-01-28,4,1,['V004112'],"['P00035381', 'P00081156']",False,True,67.5,"[""Work split across 2 contracts in category 'Water Supply'"", 'Sanctioned in rapid succession within 4 days (<= 14 days)', 'Statutory tender threshold circumvention: Total INR 10,830,000 exceeds threshold INR 5,000,000 while individual contracts remain below']"
SPLIT_00010,V006386,VENDOR,MP0008,Road,2,10910000.0,5455000.0,2025-01-31,2025-03-31,59,1,['V006386'],"['P00074523', 'P00028233']",False,True,57.5,"[""Work split across 2 contracts in category 'Road'"", 'Sanctioned within 59-day window', 'Statutory tender threshold circumvention: Total INR 10,910,000 exceeds threshold INR 5,000,000 while individual contracts remain below']"
SPLIT_00011,V007062,VENDOR,MP0013,Agriculture,2,9230000.0,4615000.0,2025-07-19,2025-08-23,35,1,['V007062'],"['P00099734', 'P00025512']",False,True,57.5,"[""Work split across 2 contracts in category 'Agriculture'"", 'Sanctioned within 35-day window', 'Statutory tender threshold circumvention: Total INR 9,230,000 exceeds threshold INR 5,000,000 while individual contracts remain below']"
SPLIT_00012,V010550,VENDOR,MP0089,Agriculture,2,9230000.0,4615000.0,2025-06-09,2025-08-08,60,1,['V010550'],"['P00058633', 'P00001723']",False,True,57.5,"[""Work split across 2 contracts in category 'Agriculture'"", 'Sanctioned within 60-day window', 'Statutory tender threshold circumvention: Total INR 9,230,000 exceeds threshold INR 5,000,000 while individual contracts remain below']"
SPLIT_00013,V011098,VENDOR,MP0051,Education,2,7070000.0,3535000.0,2025-01-19,2025-02-04,16,1,['V011098'],"['P00047561', 'P00050608']",False,True,62.5,"[""Work split across 2 contracts in category 'Education'"", 'Sanctioned within short 16-day window (<= 30 days)', 'Statutory tender threshold circumvention: Total INR 7,070,000 exceeds threshold INR 5,000,000 while individual contracts remain below']"
SPLIT_00014,V011345,VENDOR,MP0034,Education,2,6210000.0,3105000.0,2025-02-24,2025-04-09,44,1,['V011345'],"['P00004528', 'P00061477']",False,True,57.5,"[""Work split across 2 contracts in category 'Education'"", 'Sanctioned within 44-day window', 'Statutory tender threshold circumvention: Total INR 6,210,000 exceeds threshold INR 5,000,000 while individual contracts remain below']"
SPLIT_00015,V013129,VENDOR,MP0067,Agriculture,2,8220000.0,4110000.0,2025-02-03,2025-03-29,54,1,['V013129'],"['P00042363', 'P00084690']",False,True,57.5,"[""Work split across 2 contracts in category 'Agriculture'"", 'Sanctioned within 54-day window', 'Statutory tender threshold circumvention: Total INR 8,220,000 exceeds threshold INR 5,000,000 while individual contracts remain below']"
SPLIT_00016,V014751,VENDOR,MP0063,Community Development,2,7350000.0,3675000.0,2025-04-13,2025-06-08,56,1,['V014751'],"['P00030617', 'P00060232']",False,True,57.5,"[""Work split across 2 contracts in category 'Community Development'"", 'Sanctioned within 56-day window', 'Statutory tender threshold circumvention: Total INR 7,350,000 exceeds threshold INR 5,000,000 while individual contracts remain below']"
SPLIT_00017,V015025,VENDOR,MP0071,Agriculture,2,7170000.0,3585000.0,2025-03-07,2025-04-25,49,1,['V015025'],"['P00045611', 'P00041922']",False,True,57.5,"[""Work split across 2 contracts in category 'Agriculture'"", 'Sanctioned within 49-day window', 'Statutory tender threshold circumvention: Total INR 7,170,000 exceeds threshold INR 5,000,000 while individual contracts remain below']"
