project_id,risk_score,is_anomaly
P00000001,56.32,True
P00000002,52.92,True
P00000003,24.68,False
P00000004,41.21,True
P00000005,44.43,True
P00000006,22.01,False
P00000007,23.8,False
P00000008,44.2,True
P00000009,39.0,True
P00000010,56.65,True
P00000011,64.96,True
P00000012,16.77,False
P00000013,23.45,False
P00000014,51.25,True
P00000015,37.88,True
P00000016,22.34,False
P00000017,29.5,False
P00000018,35.42,True
P00000019,76.04,True
P00000020,55.01,True
P00000021,23.69,False
P00000022,49.96,True
P00000023,43.41,True
P00000024,58.66,True
P00000025,44.36,True
P00000026,53.6,True
P00000027,51.64,True
P00000028,58.26,True
P00000029,35.18,True
P00000030,28.53,False
P00000031,22.21,False
P00000032,31.59,True
P00000033,45.18,True
P00000034,48.54,True
P00000035,49.12,True
P00000036,37.23,True
P00000037,47.55,True
P00000038,32.96,True
P00000039,49.08,True
P00000040,37.75,True
P00000041,25.82,False
P00000042,36.13,True
P00000043,43.33,True
P00000044,31.61,True
P00000045,58.26,True
P00000046,55.21,True
P00000047,68.82,True
P00000048,55.25,True
P00000049,45.9,True
P00000050,50.79,True
P00000051,58.41,True
P00000052,56.82,True
P00000053,38.15,True
P00000054,76.78,True
P00000055,33.15,True
P00000056,41.95,True
P00000057,53.35,True
P00000058,56.72,True
P00000059,36.85,True
P00000060,53.6,True
P00000061,43.27,True
P00000062,27.16,False
P00000063,54.32,True
P00000064,49.6,True
P00000065,76.55,True
P00000066,56.87,True
P00000067,47.98,True
P00000068,45.22,True
P00000069,20.22,False
P00000070,44.35,True
P00000071,28.08,False
P00000072,28.97,False
P00000073,38.64,True
P00000074,32.41,True
P00000075,20.75,False
P00000076,48.61,True
P00000077,40.21,True
P00000078,35.22,True
P00000079,50.3,True
P00000080,43.36,True
P00000081,58.58,True
P00000082,83.98,True
P00000083,41.33,True
P00000084,66.93,True
P00000085,52.38,True
P00000086,39.23,True
P00000087,39.35,True
P00000088,41.02,True
P00000089,47.19,True
P00000090,48.48,True
P00000091,55.35,True
P00000092,46.51,True
P00000093,27.04,False
P00000094,33.48,True
P00000095,51.92,True
P00000096,16.03,False
P00000097,40.98,True
P00000098,47.5,True
P00000099,52.06,True
P00000100,15.19,False
P00000101,20.36,False
P00000102,28.63,False
P00000103,53.35,True
P00000104,39.71,True
P00000105,30.28,True
P00000106,32.69,True
P00000107,42.0,True
P00000108,25.3,False
P00000109,43.5,True
P00000110,24.9,False
